,created_at,id,id_str,text,source,truncated,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user,geo,coordinates,place,contributors,is_quote_status,extended_tweet,quote_count,reply_count,retweet_count,favorite_count,entities,favorited,retweeted,possibly_sensitive,filter_level,lang,matching_rules,display_text_range,extended_entities,retweeted_status
0,Wed May 13 17:54:02 +0000 2020,1260629389793951744,1260629389793951744,There's growing evidence that consumers are eager to order from restaurants again...if they offer takeout or drive-… https://t.co/JqVLWTMbWl,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381594, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573453, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,"{'full_text': ""There's growing evidence that consumers are eager to order from restaurants again...if they offer takeout or drive-thru https://t.co/bYzs99Ngrh"", 'display_text_range': [0, 143], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/bYzs99Ngrh', 'expanded_url': 'https://trib.al/wiQ7Noe', 'display_url': 'trib.al/wiQ7Noe', 'indices': [120, 143]}], 'user_mentions': [], 'symbols': []}}",1,2,11,41,"{'hashtags': [], 'urls': [{'url': 'https://t.co/JqVLWTMbWl', 'expanded_url': 'https://twitter.com/i/web/status/1260629389793951744', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,
1,Wed May 13 17:53:01 +0000 2020,1260629131823382529,1260629131823382529,"Demand for air travel will lag behind pre-coronavirus forecasts for at least 5 more years, according to one airline… https://t.co/3FmqWIhHgm","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381594, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573453, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,"{'full_text': 'Demand for air travel will lag behind pre-coronavirus forecasts for at least 5 more years, according to one airline industry group https://t.co/sf58cbBDZV', 'display_text_range': [0, 154], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/sf58cbBDZV', 'expanded_url': 'https://trib.al/LpJ6Frp', 'display_url': 'trib.al/LpJ6Frp', 'indices': [131, 154]}], 'user_mentions': [], 'symbols': []}}",2,2,27,31,"{'hashtags': [], 'urls': [{'url': 'https://t.co/3FmqWIhHgm', 'expanded_url': 'https://twitter.com/i/web/status/1260629131823382529', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,
2,Wed May 13 17:52:06 +0000 2020,1260628902495637504,1260628902495637504,"Iconic Brazilian companies Vale and Eletrobras were removed from Norway's sovereign wealth fund, the world's bigges… https://t.co/zLPe5Yko0Q","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381594, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573453, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,"{'full_text': ""Iconic Brazilian companies Vale and Eletrobras were removed from Norway's sovereign wealth fund, the world's biggest, due to environmental and human rights concerns https://t.co/t3Ni8hL3BA"", 'display_text_range': [0, 188], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/t3Ni8hL3BA', 'expanded_url': 'https://trib.al/HChrp1j', 'display_url': 'trib.al/HChrp1j', 'indices': [165, 188]}], 'user_mentions': [], 'symbols': []}}",18,6,63,147,"{'hashtags': [], 'urls': [{'url': 'https://t.co/zLPe5Yko0Q', 'expanded_url': 'https://twitter.com/i/web/status/1260628902495637504', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,
3,Wed May 13 17:51:06 +0000 2020,1260628649688076288,1260628649688076288,Amazon is extending a $2-an-hour raise for warehouse workers through May 30 https://t.co/B8xZsZ73zu,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",False,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381594, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573453, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,,7,6,16,64,"{'hashtags': [], 'urls': [{'url': 'https://t.co/B8xZsZ73zu', 'expanded_url': 'https://trib.al/DMAJTwJ', 'display_url': 'trib.al/DMAJTwJ', 'indices': [76, 99]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,
4,Wed May 13 17:50:09 +0000 2020,1260628410478493696,1260628410478493696,Trump extended his effort to curb Huawei’s access to the U.S. market and American suppliers https://t.co/EaPzU01tqp,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",False,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381594, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573453, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,,2,4,25,52,"{'hashtags': [], 'urls': [{'url': 'https://t.co/EaPzU01tqp', 'expanded_url': 'https://trib.al/jHgvmaJ', 'display_url': 'trib.al/jHgvmaJ', 'indices': [92, 115]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,
5,Wed May 13 17:50:06 +0000 2020,1260628399057522688,1260628399057522688,Republicans want a new virus spending watchdog committee to also investigate China and the World Health Organization https://t.co/5bJKRMJ2PA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",False,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381594, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573453, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,,3,15,18,48,"{'hashtags': [], 'urls': [{'url': 'https://t.co/5bJKRMJ2PA', 'expanded_url': 'https://trib.al/7O6Fqti', 'display_url': 'trib.al/7O6Fqti', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,
6,Wed May 13 17:50:05 +0000 2020,1260628397434290176,1260628397434290176,The coronavirus crisis has reinforced the most important vestige of American power: the supremacy of the dollar https://t.co/kHqZvfRrQr,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",False,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381594, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573453, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,,2,4,25,41,"{'hashtags': [], 'urls': [{'url': 'https://t.co/kHqZvfRrQr', 'expanded_url': 'https://trib.al/rPwWULK', 'display_url': 'trib.al/rPwWULK', 'indices': [112, 135]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,
7,Wed May 13 17:47:03 +0000 2020,1260627633617985536,1260627633617985536,Appaloosa Management’s David Tepper sounded a strong note of pessimism on the state of the stock market https://t.co/xVLUpgtnzd,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",False,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381594, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573453, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,,2,2,13,26,"{'hashtags': [], 'urls': [{'url': 'https://t.co/xVLUpgtnzd', 'expanded_url': 'https://trib.al/ljDt9GQ', 'display_url': 'trib.al/ljDt9GQ', 'indices': [104, 127]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,
8,Wed May 13 17:47:03 +0000 2020,1260627631193624584,1260627631193624584,"Nasdaq CEO Adena Friedman: ""I think the impact of the virus has been muted by the aggressive action of the Fed""… https://t.co/FqHUFo5gVF","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381594, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573453, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,"{'full_text': 'Nasdaq CEO Adena Friedman: ""I think the impact of the virus has been muted by the aggressive action of the Fed"" https://t.co/jVaLCXZg6l https://t.co/od6So1fUlN', 'display_text_range': [0, 135], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/jVaLCXZg6l', 'expanded_url': 'https://trib.al/tpuDYXJ', 'display_url': 'trib.al/tpuDYXJ', 'indices': [112, 135]}], 'user_mentions': [], 'symbols': [], 'media': [{'id': 1260615071883026432, 'id_str': '1260615071883026432', 'indices': [136, 159], 'additional_media_info': {'monetizable': False}, 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1260615071883026432/img/VzUBnA_IeK1C1de9.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1260615071883026432/img/VzUBnA_IeK1C1de9.jpg', 'url': 'https://t.co/od6So1fUlN', 'display_url': 'pic.twitter.com/od6So1fUlN', 'expanded_url': 'https://twitter.com/business/status/1260627631193624584/video/1', 'type': 'video', 'video_info': {'aspect_ratio': [16, 9], 'duration_millis': 76843, 'variants': [{'bitrate': 2176000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1260615071883026432/vid/1280x720/GlesUoTDn_VnM_bp.mp4?tag=13'}, {'bitrate': 832000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1260615071883026432/vid/640x360/FsGdb8rffIJFtFap.mp4?tag=13'}, {'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/amplify_video/1260615071883026432/pl/O4MDikyVK1FLcE07.m3u8?tag=13'}, {'bitrate': 288000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1260615071883026432/vid/480x270/189FOlj7fKHrTaMs.mp4?tag=13'}]}, 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}}]}, 'extended_entities': {'media': [{'id': 1260615071883026432, 'id_str': '1260615071883026432', 'indices': [136, 159], 'additional_media_info': {'monetizable': False}, 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1260615071883026432/img/VzUBnA_IeK1C1de9.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1260615071883026432/img/VzUBnA_IeK1C1de9.jpg', 'url': 'https://t.co/od6So1fUlN', 'display_url': 'pic.twitter.com/od6So1fUlN', 'expanded_url': 'https://twitter.com/business/status/1260627631193624584/video/1', 'type': 'video', 'video_info': {'aspect_ratio': [16, 9], 'duration_millis': 76843, 'variants': [{'bitrate': 2176000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1260615071883026432/vid/1280x720/GlesUoTDn_VnM_bp.mp4?tag=13'}, {'bitrate': 832000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1260615071883026432/vid/640x360/FsGdb8rffIJFtFap.mp4?tag=13'}, {'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/amplify_video/1260615071883026432/pl/O4MDikyVK1FLcE07.m3u8?tag=13'}, {'bitrate': 288000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1260615071883026432/vid/480x270/189FOlj7fKHrTaMs.mp4?tag=13'}]}, 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}}]}}",1,3,11,25,"{'hashtags': [], 'urls': [{'url': 'https://t.co/FqHUFo5gVF', 'expanded_url': 'https://twitter.com/i/web/status/1260627631193624584', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [113, 136]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],"[0, 140]",,
9,Wed May 13 17:44:02 +0000 2020,1260626874096652289,1260626874096652289,Italy registers the fewest new coronavirus cases in 2 days https://t.co/xIZPOd2EVG,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",False,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381594, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573453, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,,1,4,16,49,"{'hashtags': [], 'urls': [{'url': 'https://t.co/xIZPOd2EVG', 'expanded_url': 'https://trib.al/9XilRlH', 'display_url': 'trib.al/9XilRlH', 'indices': [59, 82]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,
