,created_at,id,id_str,text,source,truncated,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user,geo,coordinates,place,contributors,is_quote_status,extended_tweet,quote_count,reply_count,retweet_count,favorite_count,entities,favorited,retweeted,possibly_sensitive,filter_level,lang,matching_rules,display_text_range,extended_entities
0,Sat May 16 11:35:09 +0000 2020,1261621203892154368,1261621203892154368,"Mexico’s government plans to reopen parts of the economy as soon as next week, even as researchers and health offic… https://t.co/FIeNv2FfGw","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381587, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573453, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,"{'full_text': 'Mexico’s government plans to reopen parts of the economy as soon as next week, even as researchers and health officials cast doubts on its claim the contagion curve is flattening https://t.co/Sh0N5nylB1', 'display_text_range': [0, 202], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/Sh0N5nylB1', 'expanded_url': 'https://trib.al/WLM94hl', 'display_url': 'trib.al/WLM94hl', 'indices': [179, 202]}], 'user_mentions': [], 'symbols': []}}",2,1,33,42,"{'hashtags': [], 'urls': [{'url': 'https://t.co/FIeNv2FfGw', 'expanded_url': 'https://twitter.com/i/web/status/1261621203892154368', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,
1,Sat May 16 11:34:47 +0000 2020,1261621109725724672,1261621109725724672,A group of state officials has an idea to expand the availability of ventilators and other equipment hospitals need… https://t.co/ndHah4QqTF,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381587, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573453, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,"{'full_text': 'A group of state officials has an idea to expand the availability of ventilators and other equipment hospitals need to treat coronavirus patients: let more medical facilities fix the ones they have https://t.co/IQ8MJhZnW4', 'display_text_range': [0, 221], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/IQ8MJhZnW4', 'expanded_url': 'https://trib.al/68FfgyQ', 'display_url': 'trib.al/68FfgyQ', 'indices': [198, 221]}], 'user_mentions': [], 'symbols': []}}",0,3,12,35,"{'hashtags': [], 'urls': [{'url': 'https://t.co/ndHah4QqTF', 'expanded_url': 'https://twitter.com/i/web/status/1261621109725724672', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,
2,Sat May 16 11:24:29 +0000 2020,1261618518912643072,1261618518912643072,"Philippine President Rodrigo Duterte flew from the capital Manila, which remains on lockdown, to his hometown in Da… https://t.co/9v9FZgYdyM","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381587, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573453, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,"{'full_text': 'Philippine President Rodrigo Duterte flew from the capital Manila, which remains on lockdown, to his hometown in Davao City on Saturday https://t.co/3OKL9803PA', 'display_text_range': [0, 159], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/3OKL9803PA', 'expanded_url': 'https://trib.al/iRrlq1y', 'display_url': 'trib.al/iRrlq1y', 'indices': [136, 159]}], 'user_mentions': [], 'symbols': []}}",9,11,14,46,"{'hashtags': [], 'urls': [{'url': 'https://t.co/9v9FZgYdyM', 'expanded_url': 'https://twitter.com/i/web/status/1261618518912643072', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,
3,Sat May 16 11:23:06 +0000 2020,1261618171452313601,1261618171452313601,Scientists are discovering the coronavirus can harm the body in unexpected ways. Here are some symptoms you might n… https://t.co/SPzk3YTQJ3,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381587, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573453, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,"{'full_text': 'Scientists are discovering the coronavirus can harm the body in unexpected ways. Here are some symptoms you might not know about. https://t.co/9XMGMTmY0B https://t.co/2GrCXLe1P6', 'display_text_range': [0, 153], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/9XMGMTmY0B', 'expanded_url': 'https://trib.al/Sy5zjxO', 'display_url': 'trib.al/Sy5zjxO', 'indices': [130, 153]}], 'user_mentions': [], 'symbols': [], 'media': [{'id': 1260516039726706691, 'id_str': '1260516039726706691', 'indices': [154, 177], 'additional_media_info': {'monetizable': False}, 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1260516039726706691/img/k5wg10i0LrWp8FbT.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1260516039726706691/img/k5wg10i0LrWp8FbT.jpg', 'url': 'https://t.co/2GrCXLe1P6', 'display_url': 'pic.twitter.com/2GrCXLe1P6', 'expanded_url': 'https://twitter.com/business/status/1261618171452313601/video/1', 'type': 'video', 'video_info': {'aspect_ratio': [1, 1], 'duration_millis': 59237, 'variants': [{'bitrate': 432000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1260516039726706691/vid/320x320/uSJM278PJ543BxlZ.mp4?tag=13'}, {'bitrate': 1280000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1260516039726706691/vid/720x720/g3x5JCiQErT4E7Rc.mp4?tag=13'}, {'bitrate': 832000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1260516039726706691/vid/480x480/KutD5GCuRtEqLaUA.mp4?tag=13'}, {'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/amplify_video/1260516039726706691/pl/ArOi5Fq2itPi3la7.m3u8?tag=13'}]}, 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 720, 'resize': 'fit'}, 'large': {'w': 720, 'h': 720, 'resize': 'fit'}}}]}, 'extended_entities': {'media': [{'id': 1260516039726706691, 'id_str': '1260516039726706691', 'indices': [154, 177], 'additional_media_info': {'monetizable': False}, 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1260516039726706691/img/k5wg10i0LrWp8FbT.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1260516039726706691/img/k5wg10i0LrWp8FbT.jpg', 'url': 'https://t.co/2GrCXLe1P6', 'display_url': 'pic.twitter.com/2GrCXLe1P6', 'expanded_url': 'https://twitter.com/business/status/1261618171452313601/video/1', 'type': 'video', 'video_info': {'aspect_ratio': [1, 1], 'duration_millis': 59237, 'variants': [{'bitrate': 432000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1260516039726706691/vid/320x320/uSJM278PJ543BxlZ.mp4?tag=13'}, {'bitrate': 1280000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1260516039726706691/vid/720x720/g3x5JCiQErT4E7Rc.mp4?tag=13'}, {'bitrate': 832000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1260516039726706691/vid/480x480/KutD5GCuRtEqLaUA.mp4?tag=13'}, {'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/amplify_video/1260516039726706691/pl/ArOi5Fq2itPi3la7.m3u8?tag=13'}]}, 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 720, 'resize': 'fit'}, 'large': {'w': 720, 'h': 720, 'resize': 'fit'}}}]}}",9,7,92,114,"{'hashtags': [], 'urls': [{'url': 'https://t.co/SPzk3YTQJ3', 'expanded_url': 'https://twitter.com/i/web/status/1261618171452313601', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],"[0, 140]",
4,Sat May 16 11:19:14 +0000 2020,1261617199887847424,1261617199887847424,The U.K. government has appointed biotech venture capitalist Kate Bingham to chair a taskforce that will coordinate… https://t.co/gl1QUe3bLI,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381587, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573453, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,"{'full_text': 'The U.K. government has appointed biotech venture capitalist Kate Bingham to chair a taskforce that will coordinate efforts to find a viable vaccine for Covid-19 https://t.co/1V4TpvqvFT', 'display_text_range': [0, 185], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/1V4TpvqvFT', 'expanded_url': 'https://trib.al/xDS4vQd', 'display_url': 'trib.al/xDS4vQd', 'indices': [162, 185]}], 'user_mentions': [], 'symbols': []}}",2,1,17,38,"{'hashtags': [], 'urls': [{'url': 'https://t.co/gl1QUe3bLI', 'expanded_url': 'https://twitter.com/i/web/status/1261617199887847424', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,
5,Sat May 16 11:19:14 +0000 2020,1261617199753592832,1261617199753592832,"In brokering the end to an unprecedented global oil-price war last month, the Trump administration assured leaders… https://t.co/HJyz3gr5v4","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381587, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573453, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,"{'full_text': 'In brokering the end to an unprecedented global oil-price war last month, the Trump administration assured leaders that America’s shale patch would throttle back production https://t.co/r4mVn7JdJe', 'display_text_range': [0, 196], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/r4mVn7JdJe', 'expanded_url': 'https://trib.al/l1v0ZMD', 'display_url': 'trib.al/l1v0ZMD', 'indices': [173, 196]}], 'user_mentions': [], 'symbols': []}}",2,3,19,32,"{'hashtags': [], 'urls': [{'url': 'https://t.co/HJyz3gr5v4', 'expanded_url': 'https://twitter.com/i/web/status/1261617199753592832', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,
6,Sat May 16 11:16:04 +0000 2020,1261616399883083777,1261616399883083777,"If the president tests positive for coronavirus, this is what happens next https://t.co/zPJpHXUFvK","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",False,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381587, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573453, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,,11,69,47,118,"{'hashtags': [], 'urls': [{'url': 'https://t.co/zPJpHXUFvK', 'expanded_url': 'https://trib.al/TVWDY7t', 'display_url': 'trib.al/TVWDY7t', 'indices': [75, 98]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,
7,Sat May 16 11:15:08 +0000 2020,1261616164737888256,1261616164737888256,Korean virus kit maker says it can ship 100 million tests to U.S. https://t.co/Cih2ioFDfi,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",False,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381587, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573453, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,,5,4,44,94,"{'hashtags': [], 'urls': [{'url': 'https://t.co/Cih2ioFDfi', 'expanded_url': 'https://trib.al/nVIX1Yu', 'display_url': 'trib.al/nVIX1Yu', 'indices': [66, 89]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,
8,Sat May 16 11:13:06 +0000 2020,1261615656249802752,1261615656249802752,Finance executives describe the shows they're watching and the games they're playing https://t.co/OwJCDKydlf,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",False,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381587, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573453, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,,0,3,9,30,"{'hashtags': [], 'urls': [{'url': 'https://t.co/OwJCDKydlf', 'expanded_url': 'https://trib.al/E98Iisl', 'display_url': 'trib.al/E98Iisl', 'indices': [85, 108]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,
9,Sat May 16 11:12:05 +0000 2020,1261615399730327552,1261615399730327552,"If Sweden is right about its coronavirus approach, the rest of the world is wrong https://t.co/62XLOr49Rs via @BW","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",False,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381587, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573453, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,,17,22,102,143,"{'hashtags': [], 'urls': [{'url': 'https://t.co/62XLOr49Rs', 'expanded_url': 'https://trib.al/GbLRudu', 'display_url': 'trib.al/GbLRudu', 'indices': [82, 105]}], 'user_mentions': [{'screen_name': 'BW', 'name': 'Businessweek', 'id': 67358777, 'id_str': '67358777', 'indices': [110, 113]}], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,
