,created_at,id,id_str,text,source,truncated,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user,geo,coordinates,place,contributors,is_quote_status,extended_tweet,quote_count,reply_count,retweet_count,favorite_count,entities,favorited,retweeted,possibly_sensitive,filter_level,lang,matching_rules,display_text_range,retweeted_status,extended_entities
0,Fri Apr 17 11:19:03 +0000 2020,1251107902590455809,1251107902590455809,The Democratic Republic of Congo will begin a massive public-health information campaign as part of a plan to offse… https://t.co/MgkJkFMdJu,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381603, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,"{'full_text': 'The Democratic Republic of Congo will begin a massive public-health information campaign as part of a plan to offset the impact of the coronavirus pandemic on its key cobalt and copper industry https://t.co/Ymtbmrsn76', 'display_text_range': [0, 217], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/Ymtbmrsn76', 'expanded_url': 'https://trib.al/Oe3QlsE', 'display_url': 'trib.al/Oe3QlsE', 'indices': [194, 217]}], 'user_mentions': [], 'symbols': []}}",1,0,12,13,"{'hashtags': [], 'urls': [{'url': 'https://t.co/MgkJkFMdJu', 'expanded_url': 'https://twitter.com/i/web/status/1251107902590455809', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,
1,Fri Apr 17 11:18:04 +0000 2020,1251107656393199617,1251107656393199617,Facebook and Instagram users are finding that efforts to combat Covid-19 misinformation mean that other types of in… https://t.co/nQfq7hPNPQ,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381603, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,"{'full_text': 'Facebook and Instagram users are finding that efforts to combat Covid-19 misinformation mean that other types of inappropriate posts are being overlooked https://t.co/VirWF9eOTN', 'display_text_range': [0, 177], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/VirWF9eOTN', 'expanded_url': 'https://trib.al/6EtrvNH', 'display_url': 'trib.al/6EtrvNH', 'indices': [154, 177]}], 'user_mentions': [], 'symbols': []}}",0,7,18,33,"{'hashtags': [], 'urls': [{'url': 'https://t.co/nQfq7hPNPQ', 'expanded_url': 'https://twitter.com/i/web/status/1251107656393199617', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,
2,Fri Apr 17 11:17:06 +0000 2020,1251107412704219137,1251107412704219137,"“The money is already out the door, and there’s no one watching where it’s going” https://t.co/vjvdGpW7Nt","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",False,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381603, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,,9,5,34,56,"{'hashtags': [], 'urls': [{'url': 'https://t.co/vjvdGpW7Nt', 'expanded_url': 'https://trib.al/SHOmMZs', 'display_url': 'trib.al/SHOmMZs', 'indices': [82, 105]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,
3,Fri Apr 17 11:17:05 +0000 2020,1251107410120499200,1251107410120499200,Denmark’s government strikes an agreement with parliament to roll back more restrictions imposed to fight the sprea… https://t.co/9idx2COB3E,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381603, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,"{'full_text': 'Denmark’s government strikes an agreement with parliament to roll back more restrictions imposed to fight the spread of coronavirus https://t.co/6KrcM42eHo', 'display_text_range': [0, 155], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/6KrcM42eHo', 'expanded_url': 'https://trib.al/iSdzOn5', 'display_url': 'trib.al/iSdzOn5', 'indices': [132, 155]}], 'user_mentions': [], 'symbols': []}}",2,2,19,33,"{'hashtags': [], 'urls': [{'url': 'https://t.co/9idx2COB3E', 'expanded_url': 'https://twitter.com/i/web/status/1251107410120499200', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,
4,Fri Apr 17 11:17:05 +0000 2020,1251107410070167552,1251107410070167552,Registrations of Tesla vehicles rose to a record last month in China after the electric-car maker resumed productio… https://t.co/TIqgWXjNgD,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381603, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,"{'full_text': 'Registrations of Tesla vehicles rose to a record last month in China after the electric-car maker resumed production at its Shanghai plant https://t.co/I6IjTI4Rbt', 'display_text_range': [0, 162], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/I6IjTI4Rbt', 'expanded_url': 'https://trib.al/kbjlQmL', 'display_url': 'trib.al/kbjlQmL', 'indices': [139, 162]}], 'user_mentions': [], 'symbols': []}}",2,0,16,38,"{'hashtags': [], 'urls': [{'url': 'https://t.co/TIqgWXjNgD', 'expanded_url': 'https://twitter.com/i/web/status/1251107410070167552', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,
5,Fri Apr 17 11:16:06 +0000 2020,1251107163788935170,1251107163788935170,"U.S. mass transit systems may never fully recover from the coronavirus pandemic, experts say https://t.co/bqTmT4Oj0D via @BW","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",False,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381603, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,,5,4,14,25,"{'hashtags': [], 'urls': [{'url': 'https://t.co/bqTmT4Oj0D', 'expanded_url': 'https://trib.al/6x1B8oe', 'display_url': 'trib.al/6x1B8oe', 'indices': [93, 116]}], 'user_mentions': [{'screen_name': 'BW', 'name': 'Businessweek', 'id': 67358777, 'id_str': '67358777', 'indices': [121, 124]}], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,
6,Fri Apr 17 11:16:06 +0000 2020,1251107163692576768,1251107163692576768,Donald Trump insisted he had absolute authority to steer the country from the coronavirus. But now it's up to gover… https://t.co/Ph3ScDu49w,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381603, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,"{'full_text': ""Donald Trump insisted he had absolute authority to steer the country from the coronavirus. But now it's up to governors and businesses https://t.co/cv5KqoPtlV"", 'display_text_range': [0, 158], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/cv5KqoPtlV', 'expanded_url': 'https://trib.al/7qy7aik', 'display_url': 'trib.al/7qy7aik', 'indices': [135, 158]}], 'user_mentions': [], 'symbols': []}}",3,12,16,34,"{'hashtags': [], 'urls': [{'url': 'https://t.co/Ph3ScDu49w', 'expanded_url': 'https://twitter.com/i/web/status/1251107163692576768', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,
7,Fri Apr 17 11:06:05 +0000 2020,1251104639552028672,1251104639552028672,"U.S. takes steps towards reopening, early signs of success in treatment trial, and oil’s still plunging. Here’s wha… https://t.co/LSY5X0JTzf","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381603, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,"{'full_text': 'U.S. takes steps towards reopening, early signs of success in treatment trial, and oil’s still plunging. Here’s what’s moving markets https://t.co/R1sjfGTfAn https://t.co/qNI5j2l7N9', 'display_text_range': [0, 157], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/R1sjfGTfAn', 'expanded_url': 'https://trib.al/4fLrUYl', 'display_url': 'trib.al/4fLrUYl', 'indices': [134, 157]}], 'user_mentions': [], 'symbols': [], 'media': [{'id': 1251104637651955713, 'id_str': '1251104637651955713', 'indices': [158, 181], 'media_url': 'http://pbs.twimg.com/media/EVzRChAWsAEs_MK.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EVzRChAWsAEs_MK.jpg', 'url': 'https://t.co/qNI5j2l7N9', 'display_url': 'pic.twitter.com/qNI5j2l7N9', 'expanded_url': 'https://twitter.com/business/status/1251104639552028672/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 382, 'resize': 'fit'}, 'large': {'w': 1800, 'h': 1012, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}}}]}, 'extended_entities': {'media': [{'id': 1251104637651955713, 'id_str': '1251104637651955713', 'indices': [158, 181], 'media_url': 'http://pbs.twimg.com/media/EVzRChAWsAEs_MK.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EVzRChAWsAEs_MK.jpg', 'url': 'https://t.co/qNI5j2l7N9', 'display_url': 'pic.twitter.com/qNI5j2l7N9', 'expanded_url': 'https://twitter.com/business/status/1251104639552028672/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 382, 'resize': 'fit'}, 'large': {'w': 1800, 'h': 1012, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}}}]}}",1,2,12,41,"{'hashtags': [], 'urls': [{'url': 'https://t.co/LSY5X0JTzf', 'expanded_url': 'https://twitter.com/i/web/status/1251104639552028672', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],"[0, 140]",,
8,Fri Apr 17 10:59:47 +0000 2020,1251103054830731264,1251103054830731264,"RT @jrandow: Bundesbank President Jens Weidmann's message to governments fighting the coronavirus pandemic? You're providing ""significant,…","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",False,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381603, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,,0,0,0,0,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'jrandow', 'name': 'Jana Randow', 'id': 70354857, 'id_str': '70354857', 'indices': [3, 11]}], 'symbols': []}",False,False,,low,en,[{'tag': None}],,"{'created_at': 'Fri Apr 17 09:29:22 +0000 2020', 'id': 1251080302816120832, 'id_str': '1251080302816120832', 'text': 'Bundesbank President Jens Weidmann\'s message to governments fighting the coronavirus pandemic? You\'re providing ""si… https://t.co/nb1m7dq1Fg', 'display_text_range': [0, 140], 'source': '<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>', 'truncated': True, 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'user': {'id': 70354857, 'id_str': '70354857', 'name': 'Jana Randow', 'screen_name': 'jrandow', 'location': 'Frankfurt, Germany', 'url': None, 'description': 'ECB, economics & more at Bloomberg in Frankfurt. Want to know more about Mario Draghi? Check out https://rizzoli.rizzolilibri.it/libri/mario-draghi-lartefice/', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 1590, 'friends_count': 456, 'listed_count': 105, 'favourites_count': 53, 'statuses_count': 216, 'created_at': 'Mon Aug 31 09:36:08 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '1A1B1F', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': False, 'profile_link_color': '2FC2EF', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '252429', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1183817418411520000/BW253DnK_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1183817418411520000/BW253DnK_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/70354857/1404562027', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'extended_tweet': {'full_text': 'Bundesbank President Jens Weidmann\'s message to governments fighting the coronavirus pandemic? You\'re providing ""significant, impressive"" stimulus. But don\'t forget that ""an extremely expansionary fiscal stance cannot be sustained permanently."" https://t.co/IX3xLVMrRN https://t.co/BE1mG35jbJ', 'display_text_range': [0, 268], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/IX3xLVMrRN', 'expanded_url': 'https://www.bloomberg.com/news/articles/2020-04-17/ecb-s-weidmann-tells-governments-to-spend-now-but-save-later', 'display_url': 'bloomberg.com/news/articles/…', 'indices': [245, 268]}], 'user_mentions': [], 'symbols': [], 'media': [{'id': 1251073233006321666, 'id_str': '1251073233006321666', 'indices': [269, 292], 'media_url': 'http://pbs.twimg.com/media/EVy0ehlXYAIXvdu.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EVy0ehlXYAIXvdu.jpg', 'url': 'https://t.co/BE1mG35jbJ', 'display_url': 'pic.twitter.com/BE1mG35jbJ', 'expanded_url': 'https://twitter.com/jrandow/status/1251080302816120832/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 800, 'h': 533, 'resize': 'fit'}, 'large': {'w': 800, 'h': 533, 'resize': 'fit'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}}}]}, 'extended_entities': {'media': [{'id': 1251073233006321666, 'id_str': '1251073233006321666', 'indices': [269, 292], 'media_url': 'http://pbs.twimg.com/media/EVy0ehlXYAIXvdu.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EVy0ehlXYAIXvdu.jpg', 'url': 'https://t.co/BE1mG35jbJ', 'display_url': 'pic.twitter.com/BE1mG35jbJ', 'expanded_url': 'https://twitter.com/jrandow/status/1251080302816120832/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 800, 'h': 533, 'resize': 'fit'}, 'large': {'w': 800, 'h': 533, 'resize': 'fit'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}}}]}}, 'quote_count': 2, 'reply_count': 7, 'retweet_count': 31, 'favorite_count': 36, 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/nb1m7dq1Fg', 'expanded_url': 'https://twitter.com/i/web/status/1251080302816120832', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'filter_level': 'low', 'lang': 'en'}",
9,Fri Apr 17 10:52:06 +0000 2020,1251101123219533825,1251101123219533825,The Bank of Russia hints at a bigger-than-normal interest-rate cut when the central bank meets next week https://t.co/maIT2C96D5,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",False,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381603, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,,3,1,31,46,"{'hashtags': [], 'urls': [{'url': 'https://t.co/maIT2C96D5', 'expanded_url': 'https://trib.al/kgrkU0A', 'display_url': 'trib.al/kgrkU0A', 'indices': [105, 128]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,
