,created_at,id,id_str,text,source,truncated,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user,geo,coordinates,place,contributors,is_quote_status,extended_tweet,quote_count,reply_count,retweet_count,favorite_count,entities,favorited,retweeted,possibly_sensitive,filter_level,lang,matching_rules,retweeted_status,display_text_range,extended_entities
0,Fri May 01 06:06:05 +0000 2020,1256102572068347905,1256102572068347905,InterContinental’s CEO: “We’ve never seen an impact on demand for the hotel industry like this in our lifetime”… https://t.co/NXkfwFHUiS,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381600, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,"{'full_text': 'InterContinental’s CEO: “We’ve never seen an impact on demand for the hotel industry like this in our lifetime” https://t.co/KDUjeeDllH via @BW', 'display_text_range': [0, 143], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/KDUjeeDllH', 'expanded_url': 'https://trib.al/T4grmE1', 'display_url': 'trib.al/T4grmE1', 'indices': [112, 135]}], 'user_mentions': [{'screen_name': 'BW', 'name': 'Businessweek', 'id': 67358777, 'id_str': '67358777', 'indices': [140, 143]}], 'symbols': []}}",0,4,20,47,"{'hashtags': [], 'urls': [{'url': 'https://t.co/NXkfwFHUiS', 'expanded_url': 'https://twitter.com/i/web/status/1256102572068347905', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [113, 136]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,
1,Fri May 01 06:05:03 +0000 2020,1256102313825050625,1256102313825050625,Single-use plastics are making a comeback as consumers put hygiene ahead of the environment https://t.co/fXqZAG8ic1,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",False,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381600, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,,8,7,25,52,"{'hashtags': [], 'urls': [{'url': 'https://t.co/fXqZAG8ic1', 'expanded_url': 'https://trib.al/wEPw2GW', 'display_url': 'trib.al/wEPw2GW', 'indices': [92, 115]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,
2,Fri May 01 05:59:59 +0000 2020,1256101038064574466,1256101038064574466,"European countries tentatively reopen, monetary authorities ponder their options and two tech giants report

Five t… https://t.co/d6cY00W1TI","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381600, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,"{'full_text': 'European countries tentatively reopen, monetary authorities ponder their options and two tech giants report\n\nFive things you need to know to start your day in Europe https://t.co/so3StgqMhJ', 'display_text_range': [0, 189], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/so3StgqMhJ', 'expanded_url': 'https://trib.al/AtD13q6', 'display_url': 'trib.al/AtD13q6', 'indices': [166, 189]}], 'user_mentions': [], 'symbols': []}}",0,1,3,14,"{'hashtags': [], 'urls': [{'url': 'https://t.co/d6cY00W1TI', 'expanded_url': 'https://twitter.com/i/web/status/1256101038064574466', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,
3,Fri May 01 05:58:19 +0000 2020,1256100618718101510,1256100618718101510,RT @Brexit: Crucial decisions about the U.K.’s future relationship with the EU are about to be crammed into a dramatic final few weeks http…,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",False,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381600, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,,0,0,0,0,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'Brexit', 'name': 'Bloomberg Brexit', 'id': 774195721000087552, 'id_str': '774195721000087552', 'indices': [3, 10]}], 'symbols': []}",False,False,,low,en,[{'tag': None}],"{'created_at': 'Fri May 01 05:58:08 +0000 2020', 'id': 1256100573964832771, 'id_str': '1256100573964832771', 'text': 'Crucial decisions about the U.K.’s future relationship with the EU are about to be crammed into a dramatic final fe… https://t.co/Uq9NZmsPO4', 'source': '<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>', 'truncated': True, 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'user': {'id': 774195721000087552, 'id_str': '774195721000087552', 'name': 'Bloomberg Brexit', 'screen_name': 'Brexit', 'location': 'London, England', 'url': 'http://bloomberg.com', 'description': ""Full coverage of Britain's exit from the EU, by @business teams around Europe. Subscribe to our daily newsletter here: http://bloom.bg/2nPuFjQ"", 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 120058, 'friends_count': 113, 'listed_count': 1982, 'favourites_count': 6, 'statuses_count': 29121, 'created_at': 'Fri Sep 09 10:40:19 +0000 2016', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': '0F0DC6', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991793940646031360/VyFt2XCB_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991793940646031360/VyFt2XCB_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/774195721000087552/1576077944', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'extended_tweet': {'full_text': 'Crucial decisions about the U.K.’s future relationship with the EU are about to be crammed into a dramatic final few weeks https://t.co/G3dSEWIjEW', 'display_text_range': [0, 146], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/G3dSEWIjEW', 'expanded_url': 'https://trib.al/2Bc0271', 'display_url': 'trib.al/2Bc0271', 'indices': [123, 146]}], 'user_mentions': [], 'symbols': []}}, 'quote_count': 2, 'reply_count': 5, 'retweet_count': 27, 'favorite_count': 44, 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/Uq9NZmsPO4', 'expanded_url': 'https://twitter.com/i/web/status/1256100573964832771', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'filter_level': 'low', 'lang': 'en'}",,
4,Fri May 01 05:54:07 +0000 2020,1256099560302292993,1256099560302292993,Australia will decide on May 8 whether to ease lockdown restrictions as the rate of new coronavirus infections rema… https://t.co/TeXuh10rRx,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381600, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,"{'full_text': 'Australia will decide on May 8 whether to ease lockdown restrictions as the rate of new coronavirus infections remains flat https://t.co/OO3Qh3PNb1', 'display_text_range': [0, 147], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/OO3Qh3PNb1', 'expanded_url': 'https://trib.al/GPvJ2Vy', 'display_url': 'trib.al/GPvJ2Vy', 'indices': [124, 147]}], 'user_mentions': [], 'symbols': []}}",4,3,34,81,"{'hashtags': [], 'urls': [{'url': 'https://t.co/TeXuh10rRx', 'expanded_url': 'https://twitter.com/i/web/status/1256099560302292993', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,
5,Fri May 01 05:50:04 +0000 2020,1256098541446914048,1256098541446914048,What you need to know about aid for small businesses in America during the coronavirus pandemic — from applying for… https://t.co/XR5lncUzOt,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381600, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,"{'full_text': 'What you need to know about aid for small businesses in America during the coronavirus pandemic — from applying for aid to understanding the economic ramifications https://t.co/ObRAE3nC67 https://t.co/DgB4mfnJRN', 'display_text_range': [0, 187], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/ObRAE3nC67', 'expanded_url': 'https://trib.al/2IWrNMd', 'display_url': 'trib.al/2IWrNMd', 'indices': [164, 187]}], 'user_mentions': [], 'symbols': [], 'media': [{'id': 1256098539756797952, 'id_str': '1256098539756797952', 'indices': [188, 211], 'media_url': 'http://pbs.twimg.com/media/EW6O94EXQAA-IpM.png', 'media_url_https': 'https://pbs.twimg.com/media/EW6O94EXQAA-IpM.png', 'url': 'https://t.co/DgB4mfnJRN', 'display_url': 'pic.twitter.com/DgB4mfnJRN', 'expanded_url': 'https://twitter.com/business/status/1256098541446914048/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 627, 'h': 529, 'resize': 'fit'}, 'medium': {'w': 627, 'h': 529, 'resize': 'fit'}, 'small': {'w': 627, 'h': 529, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}}}]}, 'extended_entities': {'media': [{'id': 1256098539756797952, 'id_str': '1256098539756797952', 'indices': [188, 211], 'media_url': 'http://pbs.twimg.com/media/EW6O94EXQAA-IpM.png', 'media_url_https': 'https://pbs.twimg.com/media/EW6O94EXQAA-IpM.png', 'url': 'https://t.co/DgB4mfnJRN', 'display_url': 'pic.twitter.com/DgB4mfnJRN', 'expanded_url': 'https://twitter.com/business/status/1256098541446914048/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 627, 'h': 529, 'resize': 'fit'}, 'medium': {'w': 627, 'h': 529, 'resize': 'fit'}, 'small': {'w': 627, 'h': 529, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}}}]}}",2,4,14,30,"{'hashtags': [], 'urls': [{'url': 'https://t.co/XR5lncUzOt', 'expanded_url': 'https://twitter.com/i/web/status/1256098541446914048', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,"[0, 140]",
6,Fri May 01 05:43:30 +0000 2020,1256096892313878528,1256096892313878528,"Meet Alejandro Cao de Benós, North Korea’s “special delegate”—and your ticket to doing business in Pyongyang https://t.co/fYbelFJ6wP via @BW","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",False,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381600, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,,2,6,19,52,"{'hashtags': [], 'urls': [{'url': 'https://t.co/fYbelFJ6wP', 'expanded_url': 'https://trib.al/RuzwIWl', 'display_url': 'trib.al/RuzwIWl', 'indices': [109, 132]}], 'user_mentions': [{'screen_name': 'BW', 'name': 'Businessweek', 'id': 67358777, 'id_str': '67358777', 'indices': [137, 140]}], 'symbols': []}",False,False,False,low,ro,[{'tag': None}],,,
7,Fri May 01 05:20:04 +0000 2020,1256090993302085633,1256090993302085633,CLO Engineering is no match for Covid-19 as payments get cut off https://t.co/4SBdr3z5eV,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",False,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381600, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,,1,2,9,26,"{'hashtags': [], 'urls': [{'url': 'https://t.co/4SBdr3z5eV', 'expanded_url': 'https://trib.al/r5OCxh9', 'display_url': 'trib.al/r5OCxh9', 'indices': [65, 88]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,
8,Fri May 01 05:18:03 +0000 2020,1256090485661319170,1256090485661319170,"Coronavirus is likely to generate telltale signs, according to Anthony Fauci, the scientist leading the U.S. respon… https://t.co/sfgxDCkbmG","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381600, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,"{'full_text': 'Coronavirus is likely to generate telltale signs, according to Anthony Fauci, the scientist leading the U.S. response to the pandemic https://t.co/fcVnpPjD3G', 'display_text_range': [0, 157], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/fcVnpPjD3G', 'expanded_url': 'https://trib.al/BK0BgwC', 'display_url': 'trib.al/BK0BgwC', 'indices': [134, 157]}], 'user_mentions': [], 'symbols': []}}",2,5,33,60,"{'hashtags': [], 'urls': [{'url': 'https://t.co/sfgxDCkbmG', 'expanded_url': 'https://twitter.com/i/web/status/1256090485661319170', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,
9,Fri May 01 05:15:06 +0000 2020,1256089742158020610,1256089742158020610,"Afghan civilian casualties fell even as attacks by the Taliban increased in the first quarter of the year, as the i… https://t.co/8abwhXnjN6","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381600, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,"{'full_text': 'Afghan civilian casualties fell even as attacks by the Taliban increased in the first quarter of the year, as the insurgent group negotiated a deal with the U.S. https://t.co/helhTTvM8U', 'display_text_range': [0, 185], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/helhTTvM8U', 'expanded_url': 'https://trib.al/RH20Wl8', 'display_url': 'trib.al/RH20Wl8', 'indices': [162, 185]}], 'user_mentions': [], 'symbols': []}}",1,4,15,26,"{'hashtags': [], 'urls': [{'url': 'https://t.co/8abwhXnjN6', 'expanded_url': 'https://twitter.com/i/web/status/1256089742158020610', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,
