,created_at,id,id_str,text,source,truncated,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user,geo,coordinates,place,contributors,is_quote_status,extended_tweet,quote_count,reply_count,retweet_count,favorite_count,entities,favorited,retweeted,possibly_sensitive,filter_level,lang,matching_rules,retweeted_status,display_text_range,extended_entities
0,Thu May 07 17:18:04 +0000 2020,1258446009576931328,1258446009576931328,Formula One might start its racing series as soon as July although it remains unknown when and if spectators can at… https://t.co/scSOUS4QPk,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381595, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573453, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,"{'full_text': 'Formula One might start its racing series as soon as July although it remains unknown when and if spectators can attend the events https://t.co/8uEtuu6MnL', 'display_text_range': [0, 154], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/8uEtuu6MnL', 'expanded_url': 'https://trib.al/USIUbVs', 'display_url': 'trib.al/USIUbVs', 'indices': [131, 154]}], 'user_mentions': [], 'symbols': []}}",5,4,22,77,"{'hashtags': [], 'urls': [{'url': 'https://t.co/scSOUS4QPk', 'expanded_url': 'https://twitter.com/i/web/status/1258446009576931328', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,
1,Thu May 07 17:12:52 +0000 2020,1258444701532856322,1258444701532856322,"RT @TheStalwart: SCOOP from @ErikSchatzker 

Paul Tudor Jones is long Bitcoin, and he says it reminds him of owning gold in the 70s https:/…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381595, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573453, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,,0,0,0,0,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'TheStalwart', 'name': 'Joe Weisenthal', 'id': 14096763, 'id_str': '14096763', 'indices': [3, 15]}, {'screen_name': 'ErikSchatzker', 'name': 'Erik Schatzker', 'id': 106878438, 'id_str': '106878438', 'indices': [28, 42]}], 'symbols': []}",False,False,,low,en,[{'tag': None}],"{'created_at': 'Thu May 07 17:12:05 +0000 2020', 'id': 1258444504325148672, 'id_str': '1258444504325148672', 'text': 'SCOOP from @ErikSchatzker \n\nPaul Tudor Jones is long Bitcoin, and he says it reminds him of owning gold in the 70s https://t.co/QnI7uAHAtG', 'source': '<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>', 'truncated': False, 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'user': {'id': 14096763, 'id_str': '14096763', 'name': 'Joe Weisenthal', 'screen_name': 'TheStalwart', 'location': 'New York City', 'url': 'http://bit.ly/1IJLySS', 'description': ""Co-host of the Odd Lots podcast and 'What'd You Miss?' on Bloomberg TV. Editor. Fan of chess, Chinese food, and the Bakersfield Sound."", 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 210425, 'friends_count': 5792, 'listed_count': 6353, 'favourites_count': 149845, 'statuses_count': 344226, 'created_at': 'Fri Mar 07 19:37:09 +0000 2008', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1128050686468468737/z1H6iVRN_normal.png', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1128050686468468737/z1H6iVRN_normal.png', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/14096763/1495849810', 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'quote_count': 36, 'reply_count': 29, 'retweet_count': 85, 'favorite_count': 328, 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/QnI7uAHAtG', 'expanded_url': 'https://www.bloomberg.com/news/articles/2020-05-07/paul-tudor-jones-buys-bitcoin-says-he-s-reminded-of-gold-in-70s?sref=vuYGislZ', 'display_url': 'bloomberg.com/news/articles/…', 'indices': [115, 138]}], 'user_mentions': [{'screen_name': 'ErikSchatzker', 'name': 'Erik Schatzker', 'id': 106878438, 'id_str': '106878438', 'indices': [11, 25]}], 'symbols': []}, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'filter_level': 'low', 'lang': 'en'}",,
2,Thu May 07 17:09:03 +0000 2020,1258443740320010241,1258443740320010241,"RT @bopinion: After a close encounter with death last month, Boris Johnson said his main debt was to two nurses who stayed at his bedside f…","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381595, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573453, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,,0,0,0,0,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'bopinion', 'name': 'Bloomberg Opinion', 'id': 227682918, 'id_str': '227682918', 'indices': [3, 12]}], 'symbols': []}",False,False,,low,en,[{'tag': None}],"{'created_at': 'Thu May 07 14:44:41 +0000 2020', 'id': 1258407412803014656, 'id_str': '1258407412803014656', 'text': 'After a close encounter with death last month, Boris Johnson said his main debt was to two nurses who stayed at his… https://t.co/BsixQ0R0jz', 'source': '<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>', 'truncated': True, 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'user': {'id': 227682918, 'id_str': '227682918', 'name': 'Bloomberg Opinion', 'screen_name': 'bopinion', 'location': 'Worldwide', 'url': 'http://bloomberg.com/opinion', 'description': 'Opinions on business, economics and much more from the editors and columnists at Bloomberg Opinion.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 264080, 'friends_count': 464, 'listed_count': 4480, 'favourites_count': 8070, 'statuses_count': 166246, 'created_at': 'Fri Dec 17 14:20:58 +0000 2010', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': '0072FF', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991778099397320705/6LWXR6MS_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991778099397320705/6LWXR6MS_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/227682918/1525292911', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'extended_tweet': {'full_text': 'After a close encounter with death last month, Boris Johnson said his main debt was to two nurses who stayed at his bedside for 48 hours in the ICU.\n\nThe names of his nurses were Jenny from New Zealand and Luis from Portugal https://t.co/FFFbE9PfP9', 'display_text_range': [0, 248], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/FFFbE9PfP9', 'expanded_url': 'https://trib.al/fllBnxZ', 'display_url': 'trib.al/fllBnxZ', 'indices': [225, 248]}], 'user_mentions': [], 'symbols': []}}, 'quote_count': 9, 'reply_count': 59, 'retweet_count': 160, 'favorite_count': 405, 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/BsixQ0R0jz', 'expanded_url': 'https://twitter.com/i/web/status/1258407412803014656', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'filter_level': 'low', 'lang': 'en'}",,
3,Thu May 07 17:08:04 +0000 2020,1258443494739361792,1258443494739361792,"A majority of Israel’s parliament has nominated Benjamin Netanyahu to form the next government, a step toward endin… https://t.co/mqL5DGmSrH","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381595, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573453, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,"{'full_text': ""A majority of Israel’s parliament has nominated Benjamin Netanyahu to form the next government, a step toward ending the country's latest political stalemate https://t.co/QnVql9HaO8"", 'display_text_range': [0, 181], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/QnVql9HaO8', 'expanded_url': 'https://trib.al/bBIAOWd', 'display_url': 'trib.al/bBIAOWd', 'indices': [158, 181]}], 'user_mentions': [], 'symbols': []}}",1,8,15,42,"{'hashtags': [], 'urls': [{'url': 'https://t.co/mqL5DGmSrH', 'expanded_url': 'https://twitter.com/i/web/status/1258443494739361792', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,
4,Thu May 07 17:05:04 +0000 2020,1258442738477027329,1258442738477027329,Oil's fall prompts calls or the U.S. to probe whether the market is defective https://t.co/SdUmbUKP1C,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",False,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381595, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573453, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,,3,2,14,42,"{'hashtags': [], 'urls': [{'url': 'https://t.co/SdUmbUKP1C', 'expanded_url': 'https://trib.al/irA6Czz', 'display_url': 'trib.al/irA6Czz', 'indices': [78, 101]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,
5,Thu May 07 17:04:03 +0000 2020,1258442485187121154,1258442485187121154,"Grubhub shares fell as much as 8.8% on Thursday, after the company reported its first-quarter results and withdrew… https://t.co/B2IYHkVPlv","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381595, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573453, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,"{'full_text': 'Grubhub shares fell as much as 8.8% on Thursday, after the company reported its first-quarter results and withdrew its full-year outlook https://t.co/urpMbdrqk2', 'display_text_range': [0, 160], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/urpMbdrqk2', 'expanded_url': 'https://trib.al/XQgHpsM', 'display_url': 'trib.al/XQgHpsM', 'indices': [137, 160]}], 'user_mentions': [], 'symbols': []}}",0,1,7,13,"{'hashtags': [], 'urls': [{'url': 'https://t.co/B2IYHkVPlv', 'expanded_url': 'https://twitter.com/i/web/status/1258442485187121154', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,
6,Thu May 07 17:01:07 +0000 2020,1258441745542627330,1258441745542627330,Record rally reduces banks’ urgency to sell off pre-Covid debt https://t.co/MJeRMoix7w,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",False,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381595, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573453, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,,1,1,13,26,"{'hashtags': [], 'urls': [{'url': 'https://t.co/MJeRMoix7w', 'expanded_url': 'https://trib.al/uIgygRL', 'display_url': 'trib.al/uIgygRL', 'indices': [63, 86]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,
7,Thu May 07 17:00:04 +0000 2020,1258441481041448961,1258441481041448961,Frontier Airlines quickly reversed course on a plan to charge extra for passengers who want to guarantee an empty s… https://t.co/51JNf0pm4e,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381595, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573453, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,"{'full_text': 'Frontier Airlines quickly reversed course on a plan to charge extra for passengers who want to guarantee an empty seat next to theirs, after criticism from members of Congress https://t.co/Q9nbsqWN9x', 'display_text_range': [0, 199], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/Q9nbsqWN9x', 'expanded_url': 'https://trib.al/3oYyT0F', 'display_url': 'trib.al/3oYyT0F', 'indices': [176, 199]}], 'user_mentions': [], 'symbols': []}}",1,1,9,29,"{'hashtags': [], 'urls': [{'url': 'https://t.co/51JNf0pm4e', 'expanded_url': 'https://twitter.com/i/web/status/1258441481041448961', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,
8,Thu May 07 17:00:04 +0000 2020,1258441480936599552,1258441480936599552,"Hedge funds posted their best month in 6 years, as U.S. stocks rebounded in April https://t.co/i19Qsd9TxT","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",False,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381595, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573453, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,,6,1,13,24,"{'hashtags': [], 'urls': [{'url': 'https://t.co/i19Qsd9TxT', 'expanded_url': 'https://trib.al/YeqTJ9B', 'display_url': 'trib.al/YeqTJ9B', 'indices': [82, 105]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,
9,Thu May 07 16:59:07 +0000 2020,1258441240372219905,1258441240372219905,A surge in Brazil coronavirus deaths is deepening the split over lockdowns and restarts https://t.co/tYVRqbhfKA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",False,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381595, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573453, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,,3,2,13,43,"{'hashtags': [], 'urls': [{'url': 'https://t.co/tYVRqbhfKA', 'expanded_url': 'https://trib.al/TKXwp5K', 'display_url': 'trib.al/TKXwp5K', 'indices': [88, 111]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,
