,created_at,id,id_str,text,source,truncated,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user,geo,coordinates,place,contributors,is_quote_status,extended_tweet,quote_count,reply_count,retweet_count,favorite_count,entities,favorited,retweeted,possibly_sensitive,filter_level,lang,matching_rules,display_text_range,extended_entities,retweeted_status
0,Fri May 15 11:14:03 +0000 2020,1261253505223966721,1261253505223966721,A bipartisan group of senators want the Fed to buy longer-term debt issued by state and local governments to ease t… https://t.co/Ckvg6gZRvY,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381471, 'friends_count': 1286, 'listed_count': 54858, 'favourites_count': 534, 'statuses_count': 573442, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,"{'full_text': 'A bipartisan group of senators want the Fed to buy longer-term debt issued by state and local governments to ease the impact of coronavirus on municipal services https://t.co/u5su6POKd8', 'display_text_range': [0, 185], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/u5su6POKd8', 'expanded_url': 'https://trib.al/2oVTsnj', 'display_url': 'trib.al/2oVTsnj', 'indices': [162, 185]}], 'user_mentions': [], 'symbols': []}}",1,2,9,20,"{'hashtags': [], 'urls': [{'url': 'https://t.co/Ckvg6gZRvY', 'expanded_url': 'https://twitter.com/i/web/status/1261253505223966721', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,
1,Fri May 15 11:13:02 +0000 2020,1261253249170104321,1261253249170104321,American companies that moved their headquarters offshore to avoid U.S. taxes could qualify for coronavirus aid fro… https://t.co/hISGp4mzX2,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381471, 'friends_count': 1286, 'listed_count': 54858, 'favourites_count': 534, 'statuses_count': 573442, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,"{'full_text': 'American companies that moved their headquarters offshore to avoid U.S. taxes could qualify for coronavirus aid from the Federal Reserve https://t.co/GPfgMrCzCl', 'display_text_range': [0, 160], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/GPfgMrCzCl', 'expanded_url': 'https://trib.al/RLDfPYw', 'display_url': 'trib.al/RLDfPYw', 'indices': [137, 160]}], 'user_mentions': [], 'symbols': []}}",3,10,31,34,"{'hashtags': [], 'urls': [{'url': 'https://t.co/hISGp4mzX2', 'expanded_url': 'https://twitter.com/i/web/status/1261253249170104321', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,
2,Fri May 15 11:13:02 +0000 2020,1261253248918437894,1261253248918437894,"Indian households will probably shift toward liquid and safer financial assets as concerns over income losses rise,… https://t.co/3NFvYgwW99","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381471, 'friends_count': 1286, 'listed_count': 54858, 'favourites_count': 534, 'statuses_count': 573442, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,"{'full_text': 'Indian households will probably shift toward liquid and safer financial assets as concerns over income losses rise, ICICI Securities says https://t.co/KoGt3jFKSt', 'display_text_range': [0, 161], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/KoGt3jFKSt', 'expanded_url': 'https://trib.al/n0JsI2y', 'display_url': 'trib.al/n0JsI2y', 'indices': [138, 161]}], 'user_mentions': [], 'symbols': []}}",0,0,6,13,"{'hashtags': [], 'urls': [{'url': 'https://t.co/3NFvYgwW99', 'expanded_url': 'https://twitter.com/i/web/status/1261253248918437894', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,
3,Fri May 15 11:00:09 +0000 2020,1261250007644155904,1261250007644155904,"""If I were in charge, what I would tell people is, 'wear a mask, spend your time outdoors.'"" 

@ericschmidt talks w… https://t.co/o2aTh71SGx","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381471, 'friends_count': 1286, 'listed_count': 54858, 'favourites_count': 534, 'statuses_count': 573442, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,"{'full_text': '""If I were in charge, what I would tell people is, \'wear a mask, spend your time outdoors.\'"" \n\n@ericschmidt talks with David Rubenstein on the coronavirus pandemic https://t.co/p32yMr4cJr https://t.co/kVHTlLMfGE', 'display_text_range': [0, 187], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/p32yMr4cJr', 'expanded_url': 'https://trib.al/iOMKgqn', 'display_url': 'trib.al/iOMKgqn', 'indices': [164, 187]}], 'user_mentions': [{'screen_name': 'ericschmidt', 'name': 'Eric Schmidt', 'id': 93957809, 'id_str': '93957809', 'indices': [95, 107]}], 'symbols': [], 'media': [{'id': 1261248000493531136, 'id_str': '1261248000493531136', 'indices': [188, 211], 'additional_media_info': {'monetizable': False}, 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1261248000493531136/img/WuMeo79wO_Ok3m94.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1261248000493531136/img/WuMeo79wO_Ok3m94.jpg', 'url': 'https://t.co/kVHTlLMfGE', 'display_url': 'pic.twitter.com/kVHTlLMfGE', 'expanded_url': 'https://twitter.com/business/status/1261250007644155904/video/1', 'type': 'video', 'video_info': {'aspect_ratio': [16, 9], 'duration_millis': 73740, 'variants': [{'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/amplify_video/1261248000493531136/pl/Q6Dvx668WbwOceZ-.m3u8?tag=13'}, {'bitrate': 288000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1261248000493531136/vid/480x270/WE9x5qquoGZ3Z7pB.mp4?tag=13'}, {'bitrate': 2176000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1261248000493531136/vid/1280x720/VjLzJSR017SVT22U.mp4?tag=13'}, {'bitrate': 832000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1261248000493531136/vid/640x360/xv8GaPTe5mtCo-uR.mp4?tag=13'}]}, 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}}]}, 'extended_entities': {'media': [{'id': 1261248000493531136, 'id_str': '1261248000493531136', 'indices': [188, 211], 'additional_media_info': {'monetizable': False}, 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1261248000493531136/img/WuMeo79wO_Ok3m94.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1261248000493531136/img/WuMeo79wO_Ok3m94.jpg', 'url': 'https://t.co/kVHTlLMfGE', 'display_url': 'pic.twitter.com/kVHTlLMfGE', 'expanded_url': 'https://twitter.com/business/status/1261250007644155904/video/1', 'type': 'video', 'video_info': {'aspect_ratio': [16, 9], 'duration_millis': 73740, 'variants': [{'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/amplify_video/1261248000493531136/pl/Q6Dvx668WbwOceZ-.m3u8?tag=13'}, {'bitrate': 288000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1261248000493531136/vid/480x270/WE9x5qquoGZ3Z7pB.mp4?tag=13'}, {'bitrate': 2176000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1261248000493531136/vid/1280x720/VjLzJSR017SVT22U.mp4?tag=13'}, {'bitrate': 832000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1261248000493531136/vid/640x360/xv8GaPTe5mtCo-uR.mp4?tag=13'}]}, 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}}]}}",1,10,30,46,"{'hashtags': [], 'urls': [{'url': 'https://t.co/o2aTh71SGx', 'expanded_url': 'https://twitter.com/i/web/status/1261250007644155904', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [{'screen_name': 'ericschmidt', 'name': 'Eric Schmidt', 'id': 93957809, 'id_str': '93957809', 'indices': [95, 107]}], 'symbols': []}",False,False,False,low,en,[{'tag': None}],"[0, 140]",,
4,Fri May 15 11:00:08 +0000 2020,1261250003022106624,1261250003022106624,"If a penthouse in Auckland sells at asking price, it will be the most expensive home in New Zealand's history https://t.co/xXv8CGZLZh","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",False,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381471, 'friends_count': 1286, 'listed_count': 54858, 'favourites_count': 534, 'statuses_count': 573442, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,,2,5,4,23,"{'hashtags': [], 'urls': [{'url': 'https://t.co/xXv8CGZLZh', 'expanded_url': 'https://trib.al/cGJiASH', 'display_url': 'trib.al/cGJiASH', 'indices': [110, 133]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,
5,Fri May 15 10:58:05 +0000 2020,1261249488783581185,1261249488783581185,The British pound is once again the pariah of the currency world https://t.co/QXt43M84vR https://t.co/UYPvvpNjcB,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",False,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381471, 'friends_count': 1286, 'listed_count': 54858, 'favourites_count': 534, 'statuses_count': 573442, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,,6,4,43,60,"{'hashtags': [], 'urls': [{'url': 'https://t.co/QXt43M84vR', 'expanded_url': 'https://trib.al/9SKEJTm', 'display_url': 'trib.al/9SKEJTm', 'indices': [65, 88]}], 'user_mentions': [], 'symbols': [], 'media': [{'id': 1261249487017783296, 'id_str': '1261249487017783296', 'indices': [89, 112], 'media_url': 'http://pbs.twimg.com/media/EYDbud7WsAAcusZ.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EYDbud7WsAAcusZ.jpg', 'url': 'https://t.co/UYPvvpNjcB', 'display_url': 'pic.twitter.com/UYPvvpNjcB', 'expanded_url': 'https://twitter.com/business/status/1261249488783581185/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1062, 'h': 642, 'resize': 'fit'}, 'medium': {'w': 1062, 'h': 642, 'resize': 'fit'}, 'small': {'w': 680, 'h': 411, 'resize': 'fit'}}}]}",False,False,False,low,en,[{'tag': None}],"[0, 88]","{'media': [{'id': 1261249487017783296, 'id_str': '1261249487017783296', 'indices': [89, 112], 'media_url': 'http://pbs.twimg.com/media/EYDbud7WsAAcusZ.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EYDbud7WsAAcusZ.jpg', 'url': 'https://t.co/UYPvvpNjcB', 'display_url': 'pic.twitter.com/UYPvvpNjcB', 'expanded_url': 'https://twitter.com/business/status/1261249488783581185/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1062, 'h': 642, 'resize': 'fit'}, 'medium': {'w': 1062, 'h': 642, 'resize': 'fit'}, 'small': {'w': 680, 'h': 411, 'resize': 'fit'}}}]}",
6,Fri May 15 10:58:05 +0000 2020,1261249486317330432,1261249486317330432,One of China's best-performing stocks so far in 2020 happens to be in Donald Trump’s cross-hairs https://t.co/K5mAUlegCs,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",False,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381471, 'friends_count': 1286, 'listed_count': 54858, 'favourites_count': 534, 'statuses_count': 573442, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,,0,2,6,17,"{'hashtags': [], 'urls': [{'url': 'https://t.co/K5mAUlegCs', 'expanded_url': 'https://trib.al/8T1x7ZA', 'display_url': 'trib.al/8T1x7ZA', 'indices': [97, 120]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,
7,Fri May 15 10:57:05 +0000 2020,1261249234478796800,1261249234478796800,Germany records a steep drop in the number of new coronavirus cases https://t.co/chWUN2mwLW,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",False,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381471, 'friends_count': 1286, 'listed_count': 54858, 'favourites_count': 534, 'statuses_count': 573442, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,,4,3,17,72,"{'hashtags': [], 'urls': [{'url': 'https://t.co/chWUN2mwLW', 'expanded_url': 'https://trib.al/Sf3wz4E', 'display_url': 'trib.al/Sf3wz4E', 'indices': [68, 91]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,
8,Fri May 15 10:57:03 +0000 2020,1261249229219147777,1261249229219147777,Germany may try to tame growing opposition to onshore wind developments by offering cash sweeteners to locals https://t.co/TCIiO7NT1v,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",False,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381471, 'friends_count': 1286, 'listed_count': 54858, 'favourites_count': 534, 'statuses_count': 573442, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,,0,1,14,43,"{'hashtags': [], 'urls': [{'url': 'https://t.co/TCIiO7NT1v', 'expanded_url': 'https://trib.al/LXSPkLg', 'display_url': 'trib.al/LXSPkLg', 'indices': [110, 133]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,
9,Fri May 15 10:52:49 +0000 2020,1261248160929910786,1261248160929910786,"Slovenia declares an end to its coronavirus epidemic, opening its borders to EU citizens https://t.co/wyqBuQB0d0","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",False,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381471, 'friends_count': 1286, 'listed_count': 54858, 'favourites_count': 534, 'statuses_count': 573442, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,,25,12,79,152,"{'hashtags': [], 'urls': [{'url': 'https://t.co/wyqBuQB0d0', 'expanded_url': 'https://trib.al/EOfx2jl', 'display_url': 'trib.al/EOfx2jl', 'indices': [89, 112]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,
