,created_at,id,id_str,text,source,truncated,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user,geo,coordinates,place,contributors,is_quote_status,extended_tweet,quote_count,reply_count,retweet_count,favorite_count,entities,favorited,retweeted,possibly_sensitive,filter_level,lang,matching_rules,display_text_range,extended_entities,retweeted_status,scopes
0,Thu May 07 06:40:05 +0000 2020,1258285458381045761,1258285458381045761,The Philippine economy contracted in the first quarter as stringent lockdown measures to contain the coronavirus ou… https://t.co/XpZLvZJY0j,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381595, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573453, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,"{'full_text': 'The Philippine economy contracted in the first quarter as stringent lockdown measures to contain the coronavirus outbreak shut most businesses and sapped consumption https://t.co/qQqbODtPDM', 'display_text_range': [0, 189], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/qQqbODtPDM', 'expanded_url': 'https://trib.al/a4WaGE9', 'display_url': 'trib.al/a4WaGE9', 'indices': [166, 189]}], 'user_mentions': [], 'symbols': []}}",1,1,11,24,"{'hashtags': [], 'urls': [{'url': 'https://t.co/XpZLvZJY0j', 'expanded_url': 'https://twitter.com/i/web/status/1258285458381045761', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,,
1,Thu May 07 06:39:04 +0000 2020,1258285200901050368,1258285200901050368,The rush to buy Chloroquine during the coronavirus pandemic caused supplies to run out in South Africa https://t.co/YqwE6M8TjL,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",False,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381595, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573453, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,,3,3,23,28,"{'hashtags': [], 'urls': [{'url': 'https://t.co/YqwE6M8TjL', 'expanded_url': 'https://trib.al/dJlVMbk', 'display_url': 'trib.al/dJlVMbk', 'indices': [103, 126]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,,
2,Thu May 07 06:39:04 +0000 2020,1258285200825597957,1258285200825597957,A top Citigroup banker says he’s had more meetings in the past 8 weeks than in any 6-month period before the pandem… https://t.co/wg5jbOHTnm,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381595, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573453, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,"{'full_text': 'A top Citigroup banker says he’s had more meetings in the past 8 weeks than in any 6-month period before the pandemic lockdown, but that doesn’t mean he expects to work from home forever https://t.co/jVzi2MwCdm', 'display_text_range': [0, 210], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/jVzi2MwCdm', 'expanded_url': 'https://trib.al/7a6yQzK', 'display_url': 'trib.al/7a6yQzK', 'indices': [187, 210]}], 'user_mentions': [], 'symbols': []}}",4,4,19,48,"{'hashtags': [], 'urls': [{'url': 'https://t.co/wg5jbOHTnm', 'expanded_url': 'https://twitter.com/i/web/status/1258285200825597957', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,,
3,Thu May 07 06:35:09 +0000 2020,1258284215117979648,1258284215117979648,How airlines are adapting to the #coronavirus https://t.co/OT3KdLACWj https://t.co/aTWJ5RGKt1,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",False,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381595, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573453, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,,4,0,31,44,"{'hashtags': [{'text': 'coronavirus', 'indices': [33, 45]}], 'urls': [{'url': 'https://t.co/OT3KdLACWj', 'expanded_url': 'https://trib.al/G3FEnSP', 'display_url': 'trib.al/G3FEnSP', 'indices': [46, 69]}], 'user_mentions': [], 'symbols': [], 'media': [{'id': 1258168174148677632, 'id_str': '1258168174148677632', 'indices': [70, 93], 'additional_media_info': {'monetizable': False}, 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1258168174148677632/img/zB3TDQMpQlB19wnB.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1258168174148677632/img/zB3TDQMpQlB19wnB.jpg', 'url': 'https://t.co/aTWJ5RGKt1', 'display_url': 'pic.twitter.com/aTWJ5RGKt1', 'expanded_url': 'https://twitter.com/business/status/1258284215117979648/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}}]}",False,False,False,low,en,[{'tag': None}],"[0, 69]","{'media': [{'id': 1258168174148677632, 'id_str': '1258168174148677632', 'indices': [70, 93], 'additional_media_info': {'monetizable': False}, 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1258168174148677632/img/zB3TDQMpQlB19wnB.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1258168174148677632/img/zB3TDQMpQlB19wnB.jpg', 'url': 'https://t.co/aTWJ5RGKt1', 'display_url': 'pic.twitter.com/aTWJ5RGKt1', 'expanded_url': 'https://twitter.com/business/status/1258284215117979648/video/1', 'type': 'video', 'video_info': {'aspect_ratio': [16, 9], 'duration_millis': 82037, 'variants': [{'bitrate': 2176000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1258168174148677632/vid/1280x720/jTAP6vrtiUS5mMCN.mp4?tag=13'}, {'bitrate': 288000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1258168174148677632/vid/480x270/aPgarshRafq525Fl.mp4?tag=13'}, {'bitrate': 832000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1258168174148677632/vid/640x360/YjB-9fnpKYB5E1-s.mp4?tag=13'}, {'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/amplify_video/1258168174148677632/pl/D7Z1RLuxzAyuCf3U.m3u8?tag=13'}]}, 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}}]}",,
4,Thu May 07 06:25:26 +0000 2020,1258281771151568896,1258281771151568896,BREAKING: Bank of England policy makers signal they may need to do more to combat the U.K.’s economic slump from th… https://t.co/SB1twxbfvr,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381595, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573453, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,"{'full_text': 'BREAKING: Bank of England policy makers signal they may need to do more to combat the U.K.’s economic slump from the coronavirus pandemic https://t.co/74z56YzYGj', 'display_text_range': [0, 161], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/74z56YzYGj', 'expanded_url': 'https://trib.al/NKF1ZT2', 'display_url': 'trib.al/NKF1ZT2', 'indices': [138, 161]}], 'user_mentions': [], 'symbols': []}}",5,7,47,55,"{'hashtags': [], 'urls': [{'url': 'https://t.co/SB1twxbfvr', 'expanded_url': 'https://twitter.com/i/web/status/1258281771151568896', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,,
5,Thu May 07 06:23:20 +0000 2020,1258281240068833281,1258281240068833281,LATEST: At least seven people are dead after an overnight gas leak at a chemical plant in the Indian city of Visakh… https://t.co/NH80S4h3CP,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381595, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573453, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,"{'full_text': 'LATEST: At least seven people are dead after an overnight gas leak at a chemical plant in the Indian city of Visakhapatnam https://t.co/S8GyMf4rKF', 'display_text_range': [0, 146], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/S8GyMf4rKF', 'expanded_url': 'https://trib.al/QsimKg1', 'display_url': 'trib.al/QsimKg1', 'indices': [123, 146]}], 'user_mentions': [], 'symbols': []}}",5,5,39,52,"{'hashtags': [], 'urls': [{'url': 'https://t.co/NH80S4h3CP', 'expanded_url': 'https://twitter.com/i/web/status/1258281240068833281', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,,
6,Thu May 07 06:20:28 +0000 2020,1258280522511507456,1258280522511507456,"All the biggest stories from companies around Europe, in one place https://t.co/rBUKRvDgdr","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",False,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381595, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573453, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,,0,1,14,16,"{'hashtags': [], 'urls': [{'url': 'https://t.co/rBUKRvDgdr', 'expanded_url': 'https://trib.al/1Mq8J8K', 'display_url': 'trib.al/1Mq8J8K', 'indices': [67, 90]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,,
7,Thu May 07 06:12:05 +0000 2020,1258278409895059457,1258278409895059457,"India looks to lure more than 1,000 U.S. companies out of China https://t.co/vaIhfELrXi","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",False,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381595, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573453, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,,46,45,208,528,"{'hashtags': [], 'urls': [{'url': 'https://t.co/vaIhfELrXi', 'expanded_url': 'https://trib.al/hwjAzTE', 'display_url': 'trib.al/hwjAzTE', 'indices': [64, 87]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,,
8,Thu May 07 06:08:04 +0000 2020,1258277400586137600,1258277400586137600,"China’s exports unexpectedly rose in April, aided by stronger shipments to South East Asia. But the increase is lik… https://t.co/Krq8KooKU3","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381595, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573453, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,"{'full_text': 'China’s exports unexpectedly rose in April, aided by stronger shipments to South East Asia. But the increase is likely to be temporary https://t.co/1HnxXcmeu1 https://t.co/167wA3yEoQ', 'display_text_range': [0, 158], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/1HnxXcmeu1', 'expanded_url': 'https://trib.al/8DHb7vE', 'display_url': 'trib.al/8DHb7vE', 'indices': [135, 158]}], 'user_mentions': [], 'symbols': [], 'media': [{'id': 1258277398904274947, 'id_str': '1258277398904274947', 'indices': [159, 182], 'media_url': 'http://pbs.twimg.com/media/EXZMoK6XgAMWzLJ.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EXZMoK6XgAMWzLJ.jpg', 'url': 'https://t.co/167wA3yEoQ', 'display_url': 'pic.twitter.com/167wA3yEoQ', 'expanded_url': 'https://twitter.com/business/status/1258277400586137600/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1100, 'h': 628, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1100, 'h': 628, 'resize': 'fit'}, 'small': {'w': 680, 'h': 388, 'resize': 'fit'}}}]}, 'extended_entities': {'media': [{'id': 1258277398904274947, 'id_str': '1258277398904274947', 'indices': [159, 182], 'media_url': 'http://pbs.twimg.com/media/EXZMoK6XgAMWzLJ.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EXZMoK6XgAMWzLJ.jpg', 'url': 'https://t.co/167wA3yEoQ', 'display_url': 'pic.twitter.com/167wA3yEoQ', 'expanded_url': 'https://twitter.com/business/status/1258277400586137600/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1100, 'h': 628, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1100, 'h': 628, 'resize': 'fit'}, 'small': {'w': 680, 'h': 388, 'resize': 'fit'}}}]}}",1,7,15,43,"{'hashtags': [], 'urls': [{'url': 'https://t.co/Krq8KooKU3', 'expanded_url': 'https://twitter.com/i/web/status/1258277400586137600', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],"[0, 140]",,,
9,Thu May 07 06:08:04 +0000 2020,1258277399004950528,1258277399004950528,"South Korea will make artificial intelligence and 5G the centerpieces of a ""New Deal"" to create jobs https://t.co/enzdgMh9xF","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",False,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381595, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573453, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,,21,7,103,149,"{'hashtags': [], 'urls': [{'url': 'https://t.co/enzdgMh9xF', 'expanded_url': 'https://trib.al/IJNwRYt', 'display_url': 'trib.al/IJNwRYt', 'indices': [101, 124]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,,
