,created_at,id,id_str,text,source,truncated,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user,geo,coordinates,place,contributors,is_quote_status,extended_tweet,quote_count,reply_count,retweet_count,favorite_count,entities,favorited,retweeted,possibly_sensitive,filter_level,lang,matching_rules,retweeted_status,display_text_range,extended_entities
0,Sat Apr 25 17:13:46 +0000 2020,1254096276314038280,1254096276314038280,"The latest on the coronavirus:
- France reports fewest new deaths in almost a month
- Italy posts the fewest fatali… https://t.co/WG0wxx4oH5","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381604, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,"{'full_text': 'The latest on the coronavirus:\n- France reports fewest new deaths in almost a month\n- Italy posts the fewest fatalities in almost 6 weeks\n- New York’s daily death count rises slightly\nhttps://t.co/oK3y1S0Tvq', 'display_text_range': [0, 207], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/oK3y1S0Tvq', 'expanded_url': 'https://trib.al/y8tEPPO', 'display_url': 'trib.al/y8tEPPO', 'indices': [184, 207]}], 'user_mentions': [], 'symbols': []}}",3,3,35,66,"{'hashtags': [], 'urls': [{'url': 'https://t.co/WG0wxx4oH5', 'expanded_url': 'https://twitter.com/i/web/status/1254096276314038280', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,
1,Sat Apr 25 17:05:31 +0000 2020,1254094199215005700,1254094199215005700,Deutsche Bank has turned down a request by U.S. senators — including Elizabeth Warren — to release details about th… https://t.co/CLVPhAtp0d,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381604, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,"{'full_text': 'Deutsche Bank has turned down a request by U.S. senators — including Elizabeth Warren — to release details about the lender’s contacts with the family business of President Trump https://t.co/NikPnbv7OI', 'display_text_range': [0, 202], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/NikPnbv7OI', 'expanded_url': 'https://trib.al/Ry30HSS', 'display_url': 'trib.al/Ry30HSS', 'indices': [179, 202]}], 'user_mentions': [], 'symbols': []}}",36,48,382,466,"{'hashtags': [], 'urls': [{'url': 'https://t.co/CLVPhAtp0d', 'expanded_url': 'https://twitter.com/i/web/status/1254094199215005700', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,
2,Sat Apr 25 17:05:31 +0000 2020,1254094199080783872,1254094199080783872,Italy posted the fewest virus fatalities in almost six weeks as the government paved the way for a new stimulus pac… https://t.co/bItfHH4gpt,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381604, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,"{'full_text': 'Italy posted the fewest virus fatalities in almost six weeks as the government paved the way for a new stimulus package to revive an economy stalled by containment measures. https://t.co/NicbZSdxFu', 'display_text_range': [0, 197], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/NicbZSdxFu', 'expanded_url': 'https://trib.al/KP4AiQS', 'display_url': 'trib.al/KP4AiQS', 'indices': [174, 197]}], 'user_mentions': [], 'symbols': []}}",2,5,26,79,"{'hashtags': [], 'urls': [{'url': 'https://t.co/bItfHH4gpt', 'expanded_url': 'https://twitter.com/i/web/status/1254094199080783872', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,
3,Sat Apr 25 17:05:06 +0000 2020,1254094095145930753,1254094095145930753,"For a Dublin bar, the pint glass is half full even in lockdown https://t.co/foro3bFLbQ","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",False,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381604, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,,2,0,4,17,"{'hashtags': [], 'urls': [{'url': 'https://t.co/foro3bFLbQ', 'expanded_url': 'https://trib.al/lgE5UAn', 'display_url': 'trib.al/lgE5UAn', 'indices': [63, 86]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,
4,Sat Apr 25 17:03:03 +0000 2020,1254093578642640898,1254093578642640898,The pandemic may finish off some of North America’s department stores https://t.co/OM3WbgETH9,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",False,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381604, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,,0,2,5,28,"{'hashtags': [], 'urls': [{'url': 'https://t.co/OM3WbgETH9', 'expanded_url': 'https://trib.al/SBBgNZL', 'display_url': 'trib.al/SBBgNZL', 'indices': [70, 93]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,
5,Sat Apr 25 17:00:04 +0000 2020,1254092828197732352,1254092828197732352,The prospect that a torrent of stock sales is about to be unleashed by cash-strapped companies is sowing anxiety fo… https://t.co/3CVF01J4lm,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381604, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,"{'full_text': 'The prospect that a torrent of stock sales is about to be unleashed by cash-strapped companies is sowing anxiety for investors who remember the financial crisis https://t.co/EsatS3fX8c', 'display_text_range': [0, 184], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/EsatS3fX8c', 'expanded_url': 'https://trib.al/Zlx45PF', 'display_url': 'trib.al/Zlx45PF', 'indices': [161, 184]}], 'user_mentions': [], 'symbols': []}}",0,3,12,26,"{'hashtags': [], 'urls': [{'url': 'https://t.co/3CVF01J4lm', 'expanded_url': 'https://twitter.com/i/web/status/1254092828197732352', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,
6,Sat Apr 25 16:54:05 +0000 2020,1254091322518114311,1254091322518114311,Telecommuting in the age of Covid-19 has obliterated work-life-balance https://t.co/nPsbXIPnKL,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",False,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381604, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,,5,4,20,56,"{'hashtags': [], 'urls': [{'url': 'https://t.co/nPsbXIPnKL', 'expanded_url': 'https://trib.al/KOmdnRN', 'display_url': 'trib.al/KOmdnRN', 'indices': [71, 94]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,
7,Sat Apr 25 16:52:04 +0000 2020,1254090813547655168,1254090813547655168,Kenya’s president extended a nationwide night-time curfew by 21 days and said people won’t be able to enter or exit… https://t.co/PsNnH9DKrx,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381604, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,"{'full_text': 'Kenya’s president extended a nationwide night-time curfew by 21 days and said people won’t be able to enter or exit the capital and some coastal areas https://t.co/myPtyisJQh', 'display_text_range': [0, 174], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/myPtyisJQh', 'expanded_url': 'https://trib.al/DMcyNgr', 'display_url': 'trib.al/DMcyNgr', 'indices': [151, 174]}], 'user_mentions': [], 'symbols': []}}",1,0,22,42,"{'hashtags': [], 'urls': [{'url': 'https://t.co/PsNnH9DKrx', 'expanded_url': 'https://twitter.com/i/web/status/1254090813547655168', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,
8,Sat Apr 25 16:49:43 +0000 2020,1254090220791832581,1254090220791832581,"South African Airways’ 4,800-strong workforce has been given until April 30 to negotiate and if no solution is foun… https://t.co/qT0kAxanuR","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381604, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,"{'full_text': 'South African Airways’ 4,800-strong workforce has been given until April 30 to negotiate and if no solution is found to the stricken airline’s financial woes they will be expected to sign a retrenchment agreement, sources said https://t.co/UxNAF7Ft2f', 'display_text_range': [0, 250], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/UxNAF7Ft2f', 'expanded_url': 'https://trib.al/ie2jrHw', 'display_url': 'trib.al/ie2jrHw', 'indices': [227, 250]}], 'user_mentions': [], 'symbols': []}}",3,1,18,41,"{'hashtags': [], 'urls': [{'url': 'https://t.co/qT0kAxanuR', 'expanded_url': 'https://twitter.com/i/web/status/1254090220791832581', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,
9,Sat Apr 25 16:48:01 +0000 2020,1254089795980144641,1254089795980144641,"Donald Trump was sued over a provision of the coronavirus relief package that could deny $1,200 stimulus checks to… https://t.co/exL9vEYALg","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381604, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,"{'full_text': 'Donald Trump was sued over a provision of the coronavirus relief package that could deny $1,200 stimulus checks to more than 1 million Americans married to immigrants https://t.co/yifg4PzDvh', 'display_text_range': [0, 190], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/yifg4PzDvh', 'expanded_url': 'https://trib.al/4p3mYZ5', 'display_url': 'trib.al/4p3mYZ5', 'indices': [167, 190]}], 'user_mentions': [], 'symbols': []}}",12,34,65,148,"{'hashtags': [], 'urls': [{'url': 'https://t.co/exL9vEYALg', 'expanded_url': 'https://twitter.com/i/web/status/1254089795980144641', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,
