,created_at,id,id_str,text,source,truncated,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user,geo,coordinates,place,contributors,is_quote_status,extended_tweet,quote_count,reply_count,retweet_count,favorite_count,entities,favorited,retweeted,possibly_sensitive,filter_level,lang,matching_rules,retweeted_status,display_text_range,extended_entities
0,Tue Apr 21 08:26:47 +0000 2020,1252514104637640704,1252514104637640704,"Italy will present a plan this week to ease its rigid lockdown, joining Germany, France and Austria in pursuing a g… https://t.co/jyVZ4PZ4H8","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381604, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,"{'full_text': 'Italy will present a plan this week to ease its rigid lockdown, joining Germany, France and Austria in pursuing a gradual return to normality as coronavirus infection rates fall https://t.co/Ioxvmb0CZ3', 'display_text_range': [0, 201], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/Ioxvmb0CZ3', 'expanded_url': 'https://trib.al/5YKJ4oW', 'display_url': 'trib.al/5YKJ4oW', 'indices': [178, 201]}], 'user_mentions': [], 'symbols': []}}",1,4,50,71,"{'hashtags': [], 'urls': [{'url': 'https://t.co/jyVZ4PZ4H8', 'expanded_url': 'https://twitter.com/i/web/status/1252514104637640704', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,
1,Tue Apr 21 08:17:06 +0000 2020,1252511666832629760,1252511666832629760,Rising sales of debt to pay for the fight against coronavirus may fuel higher demand in Asia for so-called social b… https://t.co/CF0d2hEKHr,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381604, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,"{'full_text': 'Rising sales of debt to pay for the fight against coronavirus may fuel higher demand in Asia for so-called social bonds https://t.co/7v4xfc1oxV', 'display_text_range': [0, 143], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/7v4xfc1oxV', 'expanded_url': 'https://trib.al/KI6s9MI', 'display_url': 'trib.al/KI6s9MI', 'indices': [120, 143]}], 'user_mentions': [], 'symbols': []}}",0,1,17,34,"{'hashtags': [], 'urls': [{'url': 'https://t.co/CF0d2hEKHr', 'expanded_url': 'https://twitter.com/i/web/status/1252511666832629760', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,
2,Tue Apr 21 08:11:06 +0000 2020,1252510154920210433,1252510154920210433,The Bank of Japan warns that the pandemic could cause a credit crunch for more firms https://t.co/n6epXizXfF,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",False,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381604, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,,1,0,30,50,"{'hashtags': [], 'urls': [{'url': 'https://t.co/n6epXizXfF', 'expanded_url': 'https://trib.al/DCpFTEG', 'display_url': 'trib.al/DCpFTEG', 'indices': [85, 108]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,
3,Tue Apr 21 08:11:05 +0000 2020,1252510152554668036,1252510152554668036,"Kenya’s economic growth could slow by at least 50% this year, the Treasury estimates https://t.co/DeWhABAxSE","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",False,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381604, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,,0,2,16,22,"{'hashtags': [], 'urls': [{'url': 'https://t.co/DeWhABAxSE', 'expanded_url': 'https://trib.al/QVlaFoI', 'display_url': 'trib.al/QVlaFoI', 'indices': [85, 108]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,
4,Tue Apr 21 08:04:02 +0000 2020,1252508379873935360,1252508379873935360,“Italy was in love with the European project and it has fallen out of love” https://t.co/TsCt9qxpP7,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",False,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381604, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,,9,9,64,125,"{'hashtags': [], 'urls': [{'url': 'https://t.co/TsCt9qxpP7', 'expanded_url': 'https://trib.al/riqzY9c', 'display_url': 'trib.al/riqzY9c', 'indices': [76, 99]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,
5,Tue Apr 21 08:02:55 +0000 2020,1252508098427785216,1252508098427785216,Denmark tries to map a path back toward normalcy from the lockdown triggered by Covid-19 https://t.co/fs65ED2N10,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",False,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381604, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,,2,1,16,53,"{'hashtags': [], 'urls': [{'url': 'https://t.co/fs65ED2N10', 'expanded_url': 'https://trib.al/UwoCsT6', 'display_url': 'trib.al/UwoCsT6', 'indices': [89, 112]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,
6,Tue Apr 21 07:43:52 +0000 2020,1252503303709167616,1252503303709167616,RT @HelenCRobertson: Oil rebounded after plunging below zero for the first time in history https://t.co/bDq8CGZ8NN #OOTT https://t.co/R9DPr…,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381604, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,,0,0,0,0,"{'hashtags': [{'text': 'OOTT', 'indices': [115, 120]}], 'urls': [{'url': 'https://t.co/bDq8CGZ8NN', 'expanded_url': 'https://www.bloomberg.com/news/articles/2020-04-20/oil-rebounds-from-record-wipeout-but-prices-stay-below-zero', 'display_url': 'bloomberg.com/news/articles/…', 'indices': [91, 114]}], 'user_mentions': [{'screen_name': 'HelenCRobertson', 'name': 'Helen Robertson', 'id': 42042991, 'id_str': '42042991', 'indices': [3, 19]}], 'symbols': []}",False,False,False,low,en,[{'tag': None}],"{'created_at': 'Tue Apr 21 07:16:59 +0000 2020', 'id': 1252496539257372679, 'id_str': '1252496539257372679', 'text': 'Oil rebounded after plunging below zero for the first time in history https://t.co/bDq8CGZ8NN #OOTT https://t.co/R9DPrnPoQ2', 'display_text_range': [0, 99], 'source': '<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>', 'truncated': False, 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'user': {'id': 42042991, 'id_str': '42042991', 'name': 'Helen Robertson', 'screen_name': 'HelenCRobertson', 'location': 'London', 'url': 'https://www.bloomberg.com/authors/ATsUOBxUTRU/helen-robertson', 'description': 'Energy editor. Also metals, mining & agriculture @business in London. Retweets & likes ≠ endorsement. Opinions are mine.', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 10062, 'friends_count': 1315, 'listed_count': 381, 'favourites_count': 15486, 'statuses_count': 13531, 'created_at': 'Sat May 23 15:23:44 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'EBEBEB', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme7/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme7/bg.gif', 'profile_background_tile': False, 'profile_link_color': '050099', 'profile_sidebar_border_color': 'DFDFDF', 'profile_sidebar_fill_color': 'F3F3F3', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1071462897484746753/Z13nU9c9_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1071462897484746753/Z13nU9c9_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/42042991/1578004238', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'quote_count': 12, 'reply_count': 13, 'retweet_count': 96, 'favorite_count': 213, 'entities': {'hashtags': [{'text': 'OOTT', 'indices': [94, 99]}], 'urls': [{'url': 'https://t.co/bDq8CGZ8NN', 'expanded_url': 'https://www.bloomberg.com/news/articles/2020-04-20/oil-rebounds-from-record-wipeout-but-prices-stay-below-zero', 'display_url': 'bloomberg.com/news/articles/…', 'indices': [70, 93]}], 'user_mentions': [], 'symbols': [], 'media': [{'id': 1252496521343512576, 'id_str': '1252496521343512576', 'indices': [100, 123], 'media_url': 'http://pbs.twimg.com/media/EWHC8z0XsAAH-Qs.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EWHC8z0XsAAH-Qs.jpg', 'url': 'https://t.co/R9DPrnPoQ2', 'display_url': 'pic.twitter.com/R9DPrnPoQ2', 'expanded_url': 'https://twitter.com/HelenCRobertson/status/1252496539257372679/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 325, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1447, 'h': 692, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 574, 'resize': 'fit'}}}]}, 'extended_entities': {'media': [{'id': 1252496521343512576, 'id_str': '1252496521343512576', 'indices': [100, 123], 'media_url': 'http://pbs.twimg.com/media/EWHC8z0XsAAH-Qs.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EWHC8z0XsAAH-Qs.jpg', 'url': 'https://t.co/R9DPrnPoQ2', 'display_url': 'pic.twitter.com/R9DPrnPoQ2', 'expanded_url': 'https://twitter.com/HelenCRobertson/status/1252496539257372679/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 325, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1447, 'h': 692, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 574, 'resize': 'fit'}}}]}, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'filter_level': 'low', 'lang': 'en'}",,
7,Tue Apr 21 07:42:07 +0000 2020,1252502861067571202,1252502861067571202,"Nintendo asks suppliers to boost production of the Switch as global demand surges, according to people familiar wit… https://t.co/pZ2Y7cerLc","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381604, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,"{'full_text': 'Nintendo asks suppliers to boost production of the Switch as global demand surges, according to people familiar with the matter https://t.co/PgCKj2UVee', 'display_text_range': [0, 151], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/PgCKj2UVee', 'expanded_url': 'https://trib.al/oSraIO2', 'display_url': 'trib.al/oSraIO2', 'indices': [128, 151]}], 'user_mentions': [], 'symbols': []}}",14,4,41,119,"{'hashtags': [], 'urls': [{'url': 'https://t.co/pZ2Y7cerLc', 'expanded_url': 'https://twitter.com/i/web/status/1252502861067571202', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,
8,Tue Apr 21 07:33:05 +0000 2020,1252500590179033094,1252500590179033094,Newly developed antibody tests can indicate if a person was previously infected with coronavirus. But are they accu… https://t.co/ArEFkLOx5M,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381604, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,"{'full_text': 'Newly developed antibody tests can indicate if a person was previously infected with coronavirus. But are they accurate? And can the process be brought to scale? https://t.co/DQ8IQppyjG', 'display_text_range': [0, 185], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/DQ8IQppyjG', 'expanded_url': 'https://trib.al/Qcl2xin', 'display_url': 'trib.al/Qcl2xin', 'indices': [162, 185]}], 'user_mentions': [], 'symbols': []}}",3,3,25,53,"{'hashtags': [], 'urls': [{'url': 'https://t.co/ArEFkLOx5M', 'expanded_url': 'https://twitter.com/i/web/status/1252500590179033094', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,
9,Tue Apr 21 07:16:55 +0000 2020,1252496521301540864,1252496521301540864,Equity markets in the Gulf retreat after oil futures plunged below zero for the first time in history https://t.co/JhbdlOBa9I,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",False,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381604, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,,4,3,40,82,"{'hashtags': [], 'urls': [{'url': 'https://t.co/JhbdlOBa9I', 'expanded_url': 'https://trib.al/vZUN6o4', 'display_url': 'trib.al/vZUN6o4', 'indices': [102, 125]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,
