,created_at,id,id_str,text,source,truncated,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user,geo,coordinates,place,contributors,is_quote_status,extended_tweet,quote_count,reply_count,retweet_count,favorite_count,entities,favorited,retweeted,possibly_sensitive,filter_level,lang,matching_rules,display_text_range,retweeted_status,extended_entities
0,Wed May 13 12:44:19 +0000 2020,1260551446459830272,1260551446459830272,The Vatican is not at risk of default but it faces “difficult years” as the coronavirus dries up donations and othe… https://t.co/Rw2iFwl0nU,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381467, 'friends_count': 1286, 'listed_count': 54858, 'favourites_count': 534, 'statuses_count': 573442, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,"{'full_text': 'The Vatican is not at risk of default but it faces “difficult years” as the coronavirus dries up donations and other contributions to its budget https://t.co/80ZOeLNNoO', 'display_text_range': [0, 168], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/80ZOeLNNoO', 'expanded_url': 'https://trib.al/nrNlC5b', 'display_url': 'trib.al/nrNlC5b', 'indices': [145, 168]}], 'user_mentions': [], 'symbols': []}}",10,17,19,33,"{'hashtags': [], 'urls': [{'url': 'https://t.co/Rw2iFwl0nU', 'expanded_url': 'https://twitter.com/i/web/status/1260551446459830272', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,
1,Wed May 13 12:43:46 +0000 2020,1260551307942821888,1260551307942821888,Plans to get people back to work may put about 2.7 million young and middle-aged U.K. adults at higher risk of dyin… https://t.co/xLWLOjigC7,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381467, 'friends_count': 1286, 'listed_count': 54858, 'favourites_count': 534, 'statuses_count': 573442, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,"{'full_text': 'Plans to get people back to work may put about 2.7 million young and middle-aged U.K. adults at higher risk of dying from Covid-19 because of common chronic conditions, according to a study https://t.co/Uqs6Q8fsj3', 'display_text_range': [0, 213], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/Uqs6Q8fsj3', 'expanded_url': 'https://trib.al/TTcv5B6', 'display_url': 'trib.al/TTcv5B6', 'indices': [190, 213]}], 'user_mentions': [], 'symbols': []}}",2,4,13,19,"{'hashtags': [], 'urls': [{'url': 'https://t.co/xLWLOjigC7', 'expanded_url': 'https://twitter.com/i/web/status/1260551307942821888', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,
2,Wed May 13 12:39:01 +0000 2020,1260550113631645696,1260550113631645696,"Joe Biden and Bernie Sanders enlist the help of elected officials, scholars and activists to bridge the Democratic… https://t.co/BZmU7qYcVC","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381467, 'friends_count': 1286, 'listed_count': 54858, 'favourites_count': 534, 'statuses_count': 573442, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,"{'full_text': 'Joe Biden and Bernie Sanders enlist the help of elected officials, scholars and activists to bridge the Democratic Party’s divides on healthcare and the economy https://t.co/rx47ylVaVS', 'display_text_range': [0, 184], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/rx47ylVaVS', 'expanded_url': 'https://trib.al/anmUAP5', 'display_url': 'trib.al/anmUAP5', 'indices': [161, 184]}], 'user_mentions': [], 'symbols': []}}",5,7,17,82,"{'hashtags': [], 'urls': [{'url': 'https://t.co/BZmU7qYcVC', 'expanded_url': 'https://twitter.com/i/web/status/1260550113631645696', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,
3,Wed May 13 12:35:06 +0000 2020,1260549128330887168,1260549128330887168,HSBC lost around $200 million in one day in March because of disruptions to the gold market that caused prices to d… https://t.co/sNWyiWcvG2,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381467, 'friends_count': 1286, 'listed_count': 54858, 'favourites_count': 534, 'statuses_count': 573442, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,"{'full_text': 'HSBC lost around $200 million in one day in March because of disruptions to the gold market that caused prices to diverge dramatically in key trading hubs https://t.co/c2CwOfl6Rm', 'display_text_range': [0, 178], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/c2CwOfl6Rm', 'expanded_url': 'https://trib.al/4sLwlSm', 'display_url': 'trib.al/4sLwlSm', 'indices': [155, 178]}], 'user_mentions': [], 'symbols': []}}",5,9,51,78,"{'hashtags': [], 'urls': [{'url': 'https://t.co/sNWyiWcvG2', 'expanded_url': 'https://twitter.com/i/web/status/1260549128330887168', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,
4,Wed May 13 12:34:39 +0000 2020,1260549013880930308,1260549013880930308,"NEW: Understanding how coronavirus has changed how we buy, sell and communicate is essential to all businesses—from… https://t.co/SsHvEEgZAq","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381467, 'friends_count': 1286, 'listed_count': 54858, 'favourites_count': 534, 'statuses_count': 573442, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,"{'full_text': 'NEW: Understanding how coronavirus has changed how we buy, sell and communicate is essential to all businesses—from the largest corporation to the self-employed. \n\nRead our explainer and sign up for updates direct to your inbox ⬇️\nhttps://t.co/zr9hvbrrJi', 'display_text_range': [0, 254], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/zr9hvbrrJi', 'expanded_url': 'https://trib.al/0a1Zzsy', 'display_url': 'trib.al/0a1Zzsy', 'indices': [231, 254]}], 'user_mentions': [], 'symbols': []}}",1,3,37,42,"{'hashtags': [], 'urls': [{'url': 'https://t.co/SsHvEEgZAq', 'expanded_url': 'https://twitter.com/i/web/status/1260549013880930308', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,
5,Wed May 13 12:33:05 +0000 2020,1260548620807479297,1260548620807479297,"Coronavirus is capable of harming the body in mysterious ways, including some you may not have heard about… https://t.co/utiMqtxftT","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381467, 'friends_count': 1286, 'listed_count': 54858, 'favourites_count': 534, 'statuses_count': 573442, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,"{'full_text': 'Coronavirus is capable of harming the body in mysterious ways, including some you may not have heard about https://t.co/r17Fm0Byc1 https://t.co/jJlZYmL21u', 'display_text_range': [0, 130], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/r17Fm0Byc1', 'expanded_url': 'https://trib.al/t81HWS6', 'display_url': 'trib.al/t81HWS6', 'indices': [107, 130]}], 'user_mentions': [], 'symbols': [], 'media': [{'id': 1260548617380728833, 'id_str': '1260548617380728833', 'indices': [131, 154], 'media_url': 'http://pbs.twimg.com/media/EX5eSfEWkAEW0uu.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EX5eSfEWkAEW0uu.jpg', 'url': 'https://t.co/jJlZYmL21u', 'display_url': 'pic.twitter.com/jJlZYmL21u', 'expanded_url': 'https://twitter.com/business/status/1260548620807479297/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'large': {'w': 2000, 'h': 2000, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 1200, 'resize': 'fit'}}}]}, 'extended_entities': {'media': [{'id': 1260548617380728833, 'id_str': '1260548617380728833', 'indices': [131, 154], 'media_url': 'http://pbs.twimg.com/media/EX5eSfEWkAEW0uu.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EX5eSfEWkAEW0uu.jpg', 'url': 'https://t.co/jJlZYmL21u', 'display_url': 'pic.twitter.com/jJlZYmL21u', 'expanded_url': 'https://twitter.com/business/status/1260548620807479297/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'large': {'w': 2000, 'h': 2000, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 1200, 'resize': 'fit'}}}]}}",25,10,177,220,"{'hashtags': [], 'urls': [{'url': 'https://t.co/utiMqtxftT', 'expanded_url': 'https://twitter.com/i/web/status/1260548620807479297', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [108, 131]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],"[0, 140]",,
6,Wed May 13 12:31:10 +0000 2020,1260548136449257473,1260548136449257473,Nasdaq CEO Adena Friedman she's learned more about work-life balance since the pandemic started and she began worki… https://t.co/LHGmbxEFW3,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381467, 'friends_count': 1286, 'listed_count': 54858, 'favourites_count': 534, 'statuses_count': 573442, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,"{'full_text': ""Nasdaq CEO Adena Friedman she's learned more about work-life balance since the pandemic started and she began working at home https://t.co/STCbq1w6QS https://t.co/U9HRLlUNVk"", 'display_text_range': [0, 149], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/STCbq1w6QS', 'expanded_url': 'https://trib.al/CeKSTPx', 'display_url': 'trib.al/CeKSTPx', 'indices': [126, 149]}], 'user_mentions': [], 'symbols': [], 'media': [{'id': 1260529460576759809, 'id_str': '1260529460576759809', 'indices': [150, 173], 'additional_media_info': {'monetizable': False}, 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1260529460576759809/img/q5WaR14u7EiGiTIi.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1260529460576759809/img/q5WaR14u7EiGiTIi.jpg', 'url': 'https://t.co/U9HRLlUNVk', 'display_url': 'pic.twitter.com/U9HRLlUNVk', 'expanded_url': 'https://twitter.com/business/status/1260548136449257473/video/1', 'type': 'video', 'video_info': {'aspect_ratio': [16, 9], 'duration_millis': 88322, 'variants': [{'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/amplify_video/1260529460576759809/pl/pvHXMf5nxqlsU3-6.m3u8?tag=13'}, {'bitrate': 832000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1260529460576759809/vid/640x360/KDJZo3a_Vtx2YXrU.mp4?tag=13'}, {'bitrate': 288000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1260529460576759809/vid/480x270/cYLWFDXbmdRZY2jb.mp4?tag=13'}, {'bitrate': 2176000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1260529460576759809/vid/1280x720/KFeaS4wlAp2kGa04.mp4?tag=13'}]}, 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}}]}, 'extended_entities': {'media': [{'id': 1260529460576759809, 'id_str': '1260529460576759809', 'indices': [150, 173], 'additional_media_info': {'monetizable': False}, 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1260529460576759809/img/q5WaR14u7EiGiTIi.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1260529460576759809/img/q5WaR14u7EiGiTIi.jpg', 'url': 'https://t.co/U9HRLlUNVk', 'display_url': 'pic.twitter.com/U9HRLlUNVk', 'expanded_url': 'https://twitter.com/business/status/1260548136449257473/video/1', 'type': 'video', 'video_info': {'aspect_ratio': [16, 9], 'duration_millis': 88322, 'variants': [{'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/amplify_video/1260529460576759809/pl/pvHXMf5nxqlsU3-6.m3u8?tag=13'}, {'bitrate': 832000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1260529460576759809/vid/640x360/KDJZo3a_Vtx2YXrU.mp4?tag=13'}, {'bitrate': 288000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1260529460576759809/vid/480x270/cYLWFDXbmdRZY2jb.mp4?tag=13'}, {'bitrate': 2176000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1260529460576759809/vid/1280x720/KFeaS4wlAp2kGa04.mp4?tag=13'}]}, 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}}]}}",1,1,10,30,"{'hashtags': [], 'urls': [{'url': 'https://t.co/LHGmbxEFW3', 'expanded_url': 'https://twitter.com/i/web/status/1260548136449257473', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],"[0, 140]",,
7,Wed May 13 12:30:08 +0000 2020,1260547875697819649,1260547875697819649,"As Russia’s surging coronavirus infections have turned it into a global epidemic hotspot second only to the U.S., o… https://t.co/pThp30qUIK","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381467, 'friends_count': 1286, 'listed_count': 54858, 'favourites_count': 534, 'statuses_count': 573442, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,"{'full_text': 'As Russia’s surging coronavirus infections have turned it into a global epidemic hotspot second only to the U.S., one thing puzzles health experts: Why is it reporting so few deaths? https://t.co/gGoI5Wo5O9', 'display_text_range': [0, 206], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/gGoI5Wo5O9', 'expanded_url': 'https://trib.al/4kyznFX', 'display_url': 'trib.al/4kyznFX', 'indices': [183, 206]}], 'user_mentions': [], 'symbols': []}}",7,45,48,75,"{'hashtags': [], 'urls': [{'url': 'https://t.co/pThp30qUIK', 'expanded_url': 'https://twitter.com/i/web/status/1260547875697819649', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,
8,Wed May 13 12:30:07 +0000 2020,1260547874020040706,1260547874020040706,Angela Merkel vows to strike a balance between protecting public health and reviving the economy as she points to t… https://t.co/BUIXWGuJm7,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381467, 'friends_count': 1286, 'listed_count': 54858, 'favourites_count': 534, 'statuses_count': 573442, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,"{'full_text': 'Angela Merkel vows to strike a balance between protecting public health and reviving the economy as she points to the risks still posed by the coronavirus https://t.co/oQQ9GBW0FS', 'display_text_range': [0, 178], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/oQQ9GBW0FS', 'expanded_url': 'https://trib.al/fuDbXks', 'display_url': 'trib.al/fuDbXks', 'indices': [155, 178]}], 'user_mentions': [], 'symbols': []}}",4,1,18,50,"{'hashtags': [], 'urls': [{'url': 'https://t.co/BUIXWGuJm7', 'expanded_url': 'https://twitter.com/i/web/status/1260547874020040706', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,
9,Wed May 13 12:27:50 +0000 2020,1260547299119333378,1260547299119333378,Postmates' autonomous delivery bots are managed remotely by workers at home https://t.co/MKANAmeMWP,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",False,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381467, 'friends_count': 1286, 'listed_count': 54858, 'favourites_count': 534, 'statuses_count': 573442, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,,5,6,25,66,"{'hashtags': [], 'urls': [{'url': 'https://t.co/MKANAmeMWP', 'expanded_url': 'https://trib.al/6XniivI', 'display_url': 'trib.al/6XniivI', 'indices': [76, 99]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,
