,created_at,id,id_str,text,source,truncated,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user,geo,coordinates,place,contributors,retweeted_status,is_quote_status,quote_count,reply_count,retweet_count,favorite_count,entities,favorited,retweeted,filter_level,lang,matching_rules,display_text_range,extended_tweet,possibly_sensitive
0,Sun Apr 26 17:10:12 +0000 2020,1254457766334382082,1254457766334382082,"RT @bopinion: New Zealand Prime Minister Jacinda Ardern has imposed a lockdown unlike anything in the U.S.

As of Friday, the nation of 4.8…","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",False,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381601, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,"{'created_at': 'Sun Apr 26 15:06:19 +0000 2020', 'id': 1254426587564593152, 'id_str': '1254426587564593152', 'text': 'New Zealand Prime Minister Jacinda Ardern has imposed a lockdown unlike anything in the U.S.\n\nAs of Friday, the nat… https://t.co/3lig3DK42W', 'source': '<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>', 'truncated': True, 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'user': {'id': 227682918, 'id_str': '227682918', 'name': 'Bloomberg Opinion', 'screen_name': 'bopinion', 'location': 'Worldwide', 'url': 'http://bloomberg.com/opinion', 'description': 'Opinions on business, economics and much more from the editors and columnists at Bloomberg Opinion.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 264080, 'friends_count': 464, 'listed_count': 4480, 'favourites_count': 8070, 'statuses_count': 166246, 'created_at': 'Fri Dec 17 14:20:58 +0000 2010', 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': '0072FF', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991778099397320705/6LWXR6MS_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991778099397320705/6LWXR6MS_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/227682918/1525292911', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'extended_tweet': {'full_text': 'New Zealand Prime Minister Jacinda Ardern has imposed a lockdown unlike anything in the U.S.\n\nAs of Friday, the nation of 4.8 million people had 1,456 confirmed cases and only 17 deaths https://t.co/PfFwhwizNN', 'display_text_range': [0, 209], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/PfFwhwizNN', 'expanded_url': 'https://trib.al/izkPzPh', 'display_url': 'trib.al/izkPzPh', 'indices': [186, 209]}], 'user_mentions': [], 'symbols': []}}, 'quote_count': 840, 'reply_count': 740, 'retweet_count': 3110, 'favorite_count': 7320, 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/3lig3DK42W', 'expanded_url': 'https://twitter.com/i/web/status/1254426587564593152', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'filter_level': 'low', 'lang': 'en'}",False,0,0,0,0,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'bopinion', 'name': 'Bloomberg Opinion', 'id': 227682918, 'id_str': '227682918', 'indices': [3, 12]}], 'symbols': []}",False,False,low,en,[{'tag': None}],,,
1,Sun Apr 26 17:09:05 +0000 2020,1254457484171005952,1254457484171005952,EXCLUSIVE DEAL: College and grad students around the world can sign-up for free access to all news on… https://t.co/XZWeKpO8Yn,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381601, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,,False,5,4,48,137,"{'hashtags': [], 'urls': [{'url': 'https://t.co/XZWeKpO8Yn', 'expanded_url': 'https://twitter.com/i/web/status/1254457484171005952', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [103, 126]}], 'user_mentions': [], 'symbols': []}",False,False,low,en,[{'tag': None}],"[0, 140]","{'full_text': 'EXCLUSIVE DEAL: College and grad students around the world can sign-up for free access to all news on https://t.co/NM0axogUjf for the next three months https://t.co/D6bpMk9Z7J https://t.co/kfEpx34F9P', 'display_text_range': [0, 175], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/NM0axogUjf', 'expanded_url': 'http://Bloomberg.com', 'display_url': 'Bloomberg.com', 'indices': [102, 125]}, {'url': 'https://t.co/D6bpMk9Z7J', 'expanded_url': 'https://trib.al/r8hPrew', 'display_url': 'trib.al/r8hPrew', 'indices': [152, 175]}], 'user_mentions': [], 'symbols': [], 'media': [{'id': 1254457481708867584, 'id_str': '1254457481708867584', 'indices': [176, 199], 'media_url': 'http://pbs.twimg.com/media/EWi6bucWkAAL8x_.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EWi6bucWkAAL8x_.jpg', 'url': 'https://t.co/kfEpx34F9P', 'display_url': 'pic.twitter.com/kfEpx34F9P', 'expanded_url': 'https://twitter.com/business/status/1254457484171005952/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1200, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2000, 'h': 2000, 'resize': 'fit'}}}]}, 'extended_entities': {'media': [{'id': 1254457481708867584, 'id_str': '1254457481708867584', 'indices': [176, 199], 'media_url': 'http://pbs.twimg.com/media/EWi6bucWkAAL8x_.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EWi6bucWkAAL8x_.jpg', 'url': 'https://t.co/kfEpx34F9P', 'display_url': 'pic.twitter.com/kfEpx34F9P', 'expanded_url': 'https://twitter.com/business/status/1254457484171005952/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1200, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2000, 'h': 2000, 'resize': 'fit'}}}]}}",False
2,Sun Apr 26 17:09:04 +0000 2020,1254457480882634755,1254457480882634755,One of Europe's two home-grown electric car battery makers sees the coronavirus as another reason to grab more busi… https://t.co/spYBzU9kw6,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381601, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,,False,1,2,16,58,"{'hashtags': [], 'urls': [{'url': 'https://t.co/spYBzU9kw6', 'expanded_url': 'https://twitter.com/i/web/status/1254457480882634755', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,low,en,[{'tag': None}],,"{'full_text': ""One of Europe's two home-grown electric car battery makers sees the coronavirus as another reason to grab more business away from China https://t.co/SPhKDsM1Yd"", 'display_text_range': [0, 159], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/SPhKDsM1Yd', 'expanded_url': 'https://trib.al/4dJ7sfg', 'display_url': 'trib.al/4dJ7sfg', 'indices': [136, 159]}], 'user_mentions': [], 'symbols': []}}",False
3,Sun Apr 26 17:00:05 +0000 2020,1254455218156244994,1254455218156244994,Airbus boss Guillaume Faury warned employees that the planemaker is “bleeding cash” and needs to quickly cut costs… https://t.co/6HmUbGtoqu,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381601, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,,False,4,6,35,53,"{'hashtags': [], 'urls': [{'url': 'https://t.co/6HmUbGtoqu', 'expanded_url': 'https://twitter.com/i/web/status/1254455218156244994', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}], 'user_mentions': [], 'symbols': []}",False,False,low,en,[{'tag': None}],,"{'full_text': 'Airbus boss Guillaume Faury warned employees that the planemaker is “bleeding cash” and needs to quickly cut costs to adapt to a radically shrinking industry https://t.co/2b8oKk2lXC', 'display_text_range': [0, 181], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/2b8oKk2lXC', 'expanded_url': 'https://trib.al/Z4yl0Oa', 'display_url': 'trib.al/Z4yl0Oa', 'indices': [158, 181]}], 'user_mentions': [], 'symbols': []}}",False
4,Sun Apr 26 17:00:05 +0000 2020,1254455217476849666,1254455217476849666,"New York reported 367 new virus deaths on Sunday, the lowest figure since March 31 https://t.co/SIeExeFrQn","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",False,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381601, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,,False,2,4,42,83,"{'hashtags': [], 'urls': [{'url': 'https://t.co/SIeExeFrQn', 'expanded_url': 'https://trib.al/hBSRYQ3', 'display_url': 'trib.al/hBSRYQ3', 'indices': [83, 106]}], 'user_mentions': [], 'symbols': []}",False,False,low,en,[{'tag': None}],,,False
5,Sun Apr 26 16:59:03 +0000 2020,1254454957048303618,1254454957048303618,What works and what’s broken in the world's supply chains is becoming clearer as the virus pandemic drags on https://t.co/VYLylUqkeK,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",False,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381601, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,,False,3,4,54,119,"{'hashtags': [], 'urls': [{'url': 'https://t.co/VYLylUqkeK', 'expanded_url': 'https://trib.al/WVJw5cM', 'display_url': 'trib.al/WVJw5cM', 'indices': [109, 132]}], 'user_mentions': [], 'symbols': []}",False,False,low,en,[{'tag': None}],,,False
6,Sun Apr 26 16:58:11 +0000 2020,1254454742425747457,1254454742425747457,Brad Pitt portrayed Dr. Anthony Fauci in the second at-home episode of “Saturday Night Live” (via @AP) https://t.co/FfNq33Irmb,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",False,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381601, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,,False,1,1,15,72,"{'hashtags': [], 'urls': [{'url': 'https://t.co/FfNq33Irmb', 'expanded_url': 'https://trib.al/WueKsP0', 'display_url': 'trib.al/WueKsP0', 'indices': [103, 126]}], 'user_mentions': [{'screen_name': 'AP', 'name': 'The Associated Press', 'id': 51241574, 'id_str': '51241574', 'indices': [98, 101]}], 'symbols': []}",False,False,low,en,[{'tag': None}],,,False
7,Sun Apr 26 16:56:04 +0000 2020,1254454206427258882,1254454206427258882,ECB seen boosting pandemic response to help economy https://t.co/y0CXl0pC1S,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",False,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381601, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,,False,2,2,10,23,"{'hashtags': [], 'urls': [{'url': 'https://t.co/y0CXl0pC1S', 'expanded_url': 'https://trib.al/bRQ4Xdz', 'display_url': 'trib.al/bRQ4Xdz', 'indices': [52, 75]}], 'user_mentions': [], 'symbols': []}",False,False,low,en,[{'tag': None}],,,False
8,Sun Apr 26 16:54:37 +0000 2020,1254453842722332673,1254453842722332673,Italy on Sunday reported its fewest virus fatalities since the early days of its nationwide lockdown https://t.co/zlMEHUmFJr,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",False,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381601, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,,False,4,9,67,238,"{'hashtags': [], 'urls': [{'url': 'https://t.co/zlMEHUmFJr', 'expanded_url': 'https://trib.al/2NDVky3', 'display_url': 'trib.al/2NDVky3', 'indices': [101, 124]}], 'user_mentions': [], 'symbols': []}",False,False,low,en,[{'tag': None}],,,False
9,Sun Apr 26 16:44:04 +0000 2020,1254451190127001600,1254451190127001600,The White House denied a Dow Jones report that it’s in talks to replace Health and Human Services Secretary Alex Az… https://t.co/b1hhZiFbON,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381601, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,,False,3,11,16,43,"{'hashtags': [], 'urls': [{'url': 'https://t.co/b1hhZiFbON', 'expanded_url': 'https://twitter.com/i/web/status/1254451190127001600', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,low,en,[{'tag': None}],,"{'full_text': 'The White House denied a Dow Jones report that it’s in talks to replace Health and Human Services Secretary Alex Azar https://t.co/U5RtQaSEDL', 'display_text_range': [0, 141], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/U5RtQaSEDL', 'expanded_url': 'https://trib.al/V6RsztC', 'display_url': 'trib.al/V6RsztC', 'indices': [118, 141]}], 'user_mentions': [], 'symbols': []}}",False
