,created_at,id,id_str,text,display_text_range,source,truncated,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user,geo,coordinates,place,contributors,is_quote_status,extended_tweet,quote_count,reply_count,retweet_count,favorite_count,entities,favorited,retweeted,possibly_sensitive,filter_level,lang,matching_rules,retweeted_status,extended_entities
0,Tue Apr 28 14:39:08 +0000 2020,1255144523270774784,1255144523270774784,"You need to wear protective gear when you leave the house because of the coronavirus. But if you're not careful, yo… https://t.co/4dBqJsQfLg","[0, 140]","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381600, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,"{'full_text': ""You need to wear protective gear when you leave the house because of the coronavirus. But if you're not careful, you could be putting yourself at further risk of contracting. Watch how to safely wear and discard of your gloves \U0001f9e4https://t.co/HIySiOZN6O (Video via @QuickTake) https://t.co/O6DfFSK7I5"", 'display_text_range': [0, 274], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/HIySiOZN6O', 'expanded_url': 'https://trib.al/pKJL6pj', 'display_url': 'trib.al/pKJL6pj', 'indices': [228, 251]}], 'user_mentions': [{'screen_name': 'QuickTake', 'name': 'Bloomberg QuickTake', 'id': 252751061, 'id_str': '252751061', 'indices': [263, 273]}], 'symbols': [], 'media': [{'id': 1255081763745017856, 'id_str': '1255081763745017856', 'indices': [275, 298], 'additional_media_info': {'monetizable': False}, 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1255081763745017856/img/qb965mUtLlj62Y_v.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1255081763745017856/img/qb965mUtLlj62Y_v.jpg', 'url': 'https://t.co/O6DfFSK7I5', 'display_url': 'pic.twitter.com/O6DfFSK7I5', 'expanded_url': 'https://twitter.com/business/status/1255144523270774784/video/1', 'type': 'video', 'video_info': {'aspect_ratio': [16, 9], 'duration_millis': 158191, 'variants': [{'bitrate': 288000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1255081763745017856/vid/480x270/hdEnYXgcKCXUhJM2.mp4?tag=13'}, {'bitrate': 2176000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1255081763745017856/vid/1280x720/2xshcusFwQ-zrucb.mp4?tag=13'}, {'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/amplify_video/1255081763745017856/pl/OXbdUe_2xBlYT6Zt.m3u8?tag=13'}, {'bitrate': 832000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1255081763745017856/vid/640x360/NeTCul1oOIPzaP0d.mp4?tag=13'}]}, 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}}]}, 'extended_entities': {'media': [{'id': 1255081763745017856, 'id_str': '1255081763745017856', 'indices': [275, 298], 'additional_media_info': {'monetizable': False}, 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/1255081763745017856/img/qb965mUtLlj62Y_v.jpg', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1255081763745017856/img/qb965mUtLlj62Y_v.jpg', 'url': 'https://t.co/O6DfFSK7I5', 'display_url': 'pic.twitter.com/O6DfFSK7I5', 'expanded_url': 'https://twitter.com/business/status/1255144523270774784/video/1', 'type': 'video', 'video_info': {'aspect_ratio': [16, 9], 'duration_millis': 158191, 'variants': [{'bitrate': 288000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1255081763745017856/vid/480x270/hdEnYXgcKCXUhJM2.mp4?tag=13'}, {'bitrate': 2176000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1255081763745017856/vid/1280x720/2xshcusFwQ-zrucb.mp4?tag=13'}, {'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/amplify_video/1255081763745017856/pl/OXbdUe_2xBlYT6Zt.m3u8?tag=13'}, {'bitrate': 832000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1255081763745017856/vid/640x360/NeTCul1oOIPzaP0d.mp4?tag=13'}]}, 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}}]}}",3,2,30,41,"{'hashtags': [], 'urls': [{'url': 'https://t.co/4dBqJsQfLg', 'expanded_url': 'https://twitter.com/i/web/status/1255144523270774784', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,
1,Tue Apr 28 14:33:06 +0000 2020,1255143006673317889,1255143006673317889,"The U.K. coronavirus lockdown has put $102 billion of home sales on hold, with the market in a state of “suspended… https://t.co/1mGDVnttGg",,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381600, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,"{'full_text': 'The U.K. coronavirus lockdown has put $102 billion of home sales on hold, with the market in a state of “suspended animation,” according to Zoopla https://t.co/TpC7g009Pw', 'display_text_range': [0, 170], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/TpC7g009Pw', 'expanded_url': 'https://trib.al/8DDZEFv', 'display_url': 'trib.al/8DDZEFv', 'indices': [147, 170]}], 'user_mentions': [], 'symbols': []}}",1,2,6,11,"{'hashtags': [], 'urls': [{'url': 'https://t.co/1mGDVnttGg', 'expanded_url': 'https://twitter.com/i/web/status/1255143006673317889', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,
2,Tue Apr 28 14:30:14 +0000 2020,1255142284267384834,1255142284267384834,The U.S. Oil Fund ETF recorded a net loss of $1.19 billion in March https://t.co/wHCvovLqdR,,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",False,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381600, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,,3,10,54,106,"{'hashtags': [], 'urls': [{'url': 'https://t.co/wHCvovLqdR', 'expanded_url': 'https://trib.al/irrWdql', 'display_url': 'trib.al/irrWdql', 'indices': [68, 91]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,
3,Tue Apr 28 14:30:02 +0000 2020,1255142233759604736,1255142233759604736,Bayer has earmarked $522 million to defend itself against allegations that its weed killer Roundup causes cancer https://t.co/SNrGTZZXfc,,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",False,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381600, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,,11,12,34,48,"{'hashtags': [], 'urls': [{'url': 'https://t.co/SNrGTZZXfc', 'expanded_url': 'https://trib.al/hd1mKWC', 'display_url': 'trib.al/hd1mKWC', 'indices': [113, 136]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,
4,Tue Apr 28 14:30:02 +0000 2020,1255142231444385795,1255142231444385795,"Hours after Brazil’s Supreme Court gave the green light for a probe into Jair Bolsonaro, the president went to blow… https://t.co/3SlcRMJnEH",,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381600, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,"{'full_text': 'Hours after Brazil’s Supreme Court gave the green light for a probe into Jair Bolsonaro, the president went to blow off some steam at a shooting range https://t.co/Si5ViBq7bV', 'display_text_range': [0, 174], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/Si5ViBq7bV', 'expanded_url': 'https://trib.al/P19QCvB', 'display_url': 'trib.al/P19QCvB', 'indices': [151, 174]}], 'user_mentions': [], 'symbols': []}}",2,9,25,57,"{'hashtags': [], 'urls': [{'url': 'https://t.co/3SlcRMJnEH', 'expanded_url': 'https://twitter.com/i/web/status/1255142231444385795', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,
5,Tue Apr 28 14:25:12 +0000 2020,1255141015675039749,1255141015675039749,"""This is very likely to be an epidemic that co-exists with humans for a long time, becomes seasonal and is sustaine… https://t.co/sZzOPOQ9pN",,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381600, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,"{'full_text': '""This is very likely to be an epidemic that co-exists with humans for a long time, becomes seasonal and is sustained within human bodies"" https://t.co/WBT1ZuRuve', 'display_text_range': [0, 161], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/WBT1ZuRuve', 'expanded_url': 'https://trib.al/UMI3I8Z', 'display_url': 'trib.al/UMI3I8Z', 'indices': [138, 161]}], 'user_mentions': [], 'symbols': []}}",133,16,58,96,"{'hashtags': [], 'urls': [{'url': 'https://t.co/sZzOPOQ9pN', 'expanded_url': 'https://twitter.com/i/web/status/1255141015675039749', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,
6,Tue Apr 28 14:24:04 +0000 2020,1255140729854160897,1255140729854160897,Harley is in talks to raise $1.3 billion to boost cash in the midst of collapse https://t.co/ZJC26UdF5X,,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",False,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381600, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,,1,1,9,30,"{'hashtags': [], 'urls': [{'url': 'https://t.co/ZJC26UdF5X', 'expanded_url': 'https://trib.al/NELIEYm', 'display_url': 'trib.al/NELIEYm', 'indices': [80, 103]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,
7,Tue Apr 28 14:23:51 +0000 2020,1255140677542797318,1255140677542797318,Consumer confidence plunges to its lowest level since 2014 https://t.co/CzwGCU4d6m,,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",False,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381600, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,,3,8,21,64,"{'hashtags': [], 'urls': [{'url': 'https://t.co/CzwGCU4d6m', 'expanded_url': 'https://trib.al/Nyi99MN', 'display_url': 'trib.al/Nyi99MN', 'indices': [59, 82]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,
8,Tue Apr 28 14:21:04 +0000 2020,1255139975697317893,1255139975697317893,A little-noticed provision in New York’s tax law could leave billions of dollars in tax revenue up for grabs https://t.co/XC0nTuZsUo,,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",False,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381600, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,,1,1,4,14,"{'hashtags': [], 'urls': [{'url': 'https://t.co/XC0nTuZsUo', 'expanded_url': 'https://trib.al/OJ9qMFT', 'display_url': 'trib.al/OJ9qMFT', 'indices': [109, 132]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,
9,Tue Apr 28 14:20:06 +0000 2020,1255139733518217216,1255139733518217216,A utility giant’s plan to eliminate its global warming emissions in 30 years calls for continuing to use natural ga… https://t.co/k9LxFb8oDy,,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381600, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,"{'full_text': 'A utility giant’s plan to eliminate its global warming emissions in 30 years calls for continuing to use natural gas. https://t.co/Um73FyFFO2', 'display_text_range': [0, 141], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/Um73FyFFO2', 'expanded_url': 'https://trib.al/eRJsyAN', 'display_url': 'trib.al/eRJsyAN', 'indices': [118, 141]}], 'user_mentions': [], 'symbols': []}}",3,5,17,49,"{'hashtags': [], 'urls': [{'url': 'https://t.co/k9LxFb8oDy', 'expanded_url': 'https://twitter.com/i/web/status/1255139733518217216', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,
