,created_at,id,id_str,text,source,truncated,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user,geo,coordinates,place,contributors,is_quote_status,quote_count,reply_count,retweet_count,favorite_count,entities,favorited,retweeted,possibly_sensitive,filter_level,lang,matching_rules,extended_tweet,display_text_range,extended_entities,retweeted_status,quoted_status_id,quoted_status_id_str,quoted_status,quoted_status_permalink
0,Thu Apr 23 17:51:04 +0000 2020,1253380887531716616,1253380887531716616,"People are overworked, stressed, and eager to get back to the office https://t.co/3iP0gH9AmN","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",False,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381604, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,34,21,65,158,"{'hashtags': [], 'urls': [{'url': 'https://t.co/3iP0gH9AmN', 'expanded_url': 'https://trib.al/DgfqxGA', 'display_url': 'trib.al/DgfqxGA', 'indices': [69, 92]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,,,,,,
1,Thu Apr 23 17:42:01 +0000 2020,1253378610024644610,1253378610024644610,Gilead shares plunged after reports that its experimental drug remdesivir failed to show a positive result for coro… https://t.co/M75k04mpNO,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381604, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,27,7,114,151,"{'hashtags': [], 'urls': [{'url': 'https://t.co/M75k04mpNO', 'expanded_url': 'https://twitter.com/i/web/status/1253378610024644610', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],"{'full_text': 'Gilead shares plunged after reports that its experimental drug remdesivir failed to show a positive result for coronavirus patients in a Chinese trial https://t.co/J6HzRzjFAU', 'display_text_range': [0, 174], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/J6HzRzjFAU', 'expanded_url': 'https://trib.al/F58F3Cg', 'display_url': 'trib.al/F58F3Cg', 'indices': [151, 174]}], 'user_mentions': [], 'symbols': []}}",,,,,,,
2,Thu Apr 23 17:37:07 +0000 2020,1253377373128527872,1253377373128527872,Yale University said it won’t accept its allocation of $6.9 million in federal stimulus money https://t.co/ODJJjg4MYS,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",False,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381604, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,3,14,25,72,"{'hashtags': [], 'urls': [{'url': 'https://t.co/ODJJjg4MYS', 'expanded_url': 'https://trib.al/0Flx1dY', 'display_url': 'trib.al/0Flx1dY', 'indices': [94, 117]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,,,,,,
3,Thu Apr 23 17:33:31 +0000 2020,1253376470493417473,1253376470493417473,"New Jersey expects to exceed 100,000 cases of the new coronavirus on Friday https://t.co/kAm1fSXQhy","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",False,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381604, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,2,4,11,23,"{'hashtags': [], 'urls': [{'url': 'https://t.co/kAm1fSXQhy', 'expanded_url': 'https://trib.al/oZd0Noc', 'display_url': 'trib.al/oZd0Noc', 'indices': [76, 99]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,,,,,,
4,Thu Apr 23 17:33:08 +0000 2020,1253376374242410496,1253376374242410496,The U.S. auto industry says it will outfit millions of cars with wireless systems designed to prevent traffic colli… https://t.co/dTFqxdMz3B,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381604, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,1,6,24,48,"{'hashtags': [], 'urls': [{'url': 'https://t.co/dTFqxdMz3B', 'expanded_url': 'https://twitter.com/i/web/status/1253376374242410496', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],"{'full_text': 'The U.S. auto industry says it will outfit millions of cars with wireless systems designed to prevent traffic collisions if the FCC agrees to not give away that airwaves that were set aside years ago for that purpose https://t.co/Py1HwWbc8N', 'display_text_range': [0, 240], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/Py1HwWbc8N', 'expanded_url': 'https://trib.al/RTC0HLx', 'display_url': 'trib.al/RTC0HLx', 'indices': [217, 240]}], 'user_mentions': [], 'symbols': []}}",,,,,,,
5,Thu Apr 23 17:23:07 +0000 2020,1253373850554896384,1253373850554896384,Snap launched a $750 million convertible offering Thursday in what CEO Evan Spiegel characterized as a “strategic m… https://t.co/NlDCKvEfys,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381604, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,2,4,13,31,"{'hashtags': [], 'urls': [{'url': 'https://t.co/NlDCKvEfys', 'expanded_url': 'https://twitter.com/i/web/status/1253373850554896384', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],"{'full_text': 'Snap launched a $750 million convertible offering Thursday in what CEO Evan Spiegel characterized as a “strategic move” https://t.co/D9qCf1DF3T', 'display_text_range': [0, 143], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/D9qCf1DF3T', 'expanded_url': 'https://trib.al/6ee4T6N', 'display_url': 'trib.al/6ee4T6N', 'indices': [120, 143]}], 'user_mentions': [], 'symbols': []}}",,,,,,,
6,Thu Apr 23 17:23:07 +0000 2020,1253373850546573313,1253373850546573313,30 progressive and good-government groups urge Biden to commit to transparency and strict ethics rules around his W… https://t.co/K5g3OphKci,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381604, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,2,6,16,33,"{'hashtags': [], 'urls': [{'url': 'https://t.co/K5g3OphKci', 'expanded_url': 'https://twitter.com/i/web/status/1253373850546573313', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],"{'full_text': '30 progressive and good-government groups urge Biden to commit to transparency and strict ethics rules around his White House transition team https://t.co/a7K6BLhXON', 'display_text_range': [0, 165], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/a7K6BLhXON', 'expanded_url': 'https://trib.al/Dslrreb', 'display_url': 'trib.al/Dslrreb', 'indices': [142, 165]}], 'user_mentions': [], 'symbols': []}}",,,,,,,
7,Thu Apr 23 17:18:04 +0000 2020,1253372582419718147,1253372582419718147,New York City intends to serve a half-million Halal meals during Ramadan https://t.co/tk0P2qiGD5,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",False,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381604, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,9,18,156,455,"{'hashtags': [], 'urls': [{'url': 'https://t.co/tk0P2qiGD5', 'expanded_url': 'https://trib.al/daLtiEC', 'display_url': 'trib.al/daLtiEC', 'indices': [73, 96]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,,,,,,
8,Thu Apr 23 17:13:07 +0000 2020,1253371333376970754,1253371333376970754,"Regulators voted to let fast Wi-Fi devices use a broad swath of airwaves, delivering a win for big tech, while upse… https://t.co/Sc6A0xwILu","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381604, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,3,5,30,55,"{'hashtags': [], 'urls': [{'url': 'https://t.co/Sc6A0xwILu', 'expanded_url': 'https://twitter.com/i/web/status/1253371333376970754', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],"{'full_text': 'Regulators voted to let fast Wi-Fi devices use a broad swath of airwaves, delivering a win for big tech, while upsetting utilities that use the frequencies to control pipelines and electric grids https://t.co/9yAZHiCDXd', 'display_text_range': [0, 219], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/9yAZHiCDXd', 'expanded_url': 'https://trib.al/pwr2by2', 'display_url': 'trib.al/pwr2by2', 'indices': [196, 219]}], 'user_mentions': [], 'symbols': []}}",,,,,,,
9,Thu Apr 23 17:09:03 +0000 2020,1253370311636107264,1253370311636107264,John Malone’s Liberty Media moved to shore up its Formula One Group auto-racing unit https://t.co/EcbAetnphM,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",False,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381604, 'friends_count': 1286, 'listed_count': 54860, 'favourites_count': 534, 'statuses_count': 573454, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,0,2,10,23,"{'hashtags': [], 'urls': [{'url': 'https://t.co/EcbAetnphM', 'expanded_url': 'https://trib.al/rCXqdum', 'display_url': 'trib.al/rCXqdum', 'indices': [85, 108]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,,,,,,
